instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.051111111,-0.414444444,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.09,-0.406666667,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.897,,,,,,,,1.897,1,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,a,1,2.928,,,,,,,,2.928,1,0,1,1,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.773,,,,,,,,0.773,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.374,,,,,,,,1.374,1,0,3,3,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.811,,,,,,,,0.811,1,0,4,4,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.925,,,,,,,,0.925,1,0,5,5,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.887,,,,,,,,0.887,1,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,a,0,1.936,,,,,,,,1.936,0,0,7,7,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.089,,,,,,,,1.089,1,0,8,8,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.877,,,,,,,,0.877,1,0,9,9,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,l,1,2.612,,,,,,,,2.612,1,0,0,0,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,l,1,2.82,,,,,,,,2.82,1,0,1,1,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.585,,,,,,,,1.585,1,0,2,2,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.243,,,,,,,,1.243,1,0,3,3,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.164,,,,,,,,1.164,1,0,4,4,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.162,,,,,,,,1.162,1,0,5,5,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.238,,,,,,,,1.238,1,0,6,6,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.975,,,,,,,,0.975,1,0,7,7,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,l,1,2.227,,,,,,,,2.227,1,0,8,8,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.904,,,,,,,,0.904,1,0,9,9,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,l,1,2.116,,,,,,,,2.116,1,0,0,0,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.072,,,,,,,,1.072,1,0,1,1,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,a,1,2.192,,,,,,,,2.192,1,0,2,2,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.039,,,,,,,,1.039,1,0,3,3,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,l,1,3.298,,,,,,,,3.298,1,0,4,4,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.655,,,,,,,,0.655,1,0,5,5,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,a,1,10.554,,,,,,,,10.554,1,0,6,6,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Vanessa,1,001,female,2022-08-03_18h35.12.647,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.108,,,,,,,,1.108,1,0,7,7,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
