instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.028645833,-0.408854167,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.05078125,-0.419270833,0,0,0,,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,a,1,0.8175,,,,,,,,0.8175,1,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,a,1,0.7341,,,,,,,,0.7341,1,0,1,1,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,a,1,0.8616,,,,,,,,0.8616,1,0,2,2,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,l,1,0.9839,,,,,,,,0.9839,1,0,3,3,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,a,1,0.6972,,,,,,,,0.6972,1,0,4,4,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,a,1,0.5845,,,,,,,,0.5845,1,0,5,5,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,l,1,0.6175,,,,,,,,0.6175,1,0,6,6,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,l,1,1.1542,,,,,,,,1.1542,1,0,7,7,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,l,1,0.742,,,,,,,,0.742,1,0,8,8,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,l,1,0.8967,,,,,,,,0.8967,1,0,9,9,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,a,1,1.9681,,,,,,,,1.9681,1,0,0,0,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,l,1,0.709,,,,,,,,0.709,1,0,1,1,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,l,1,1.3404,,,,,,,,1.3404,1,0,2,2,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,l,1,0.6553,,,,,,,,0.6553,1,0,3,3,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,a,1,1.3442,,,,,,,,1.3442,1,0,4,4,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,l,1,0.7403,,,,,,,,0.7403,1,0,5,5,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,a,1,0.7247,,,,,,,,0.7247,1,0,6,6,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,a,1,0.8342,,,,,,,,0.8342,1,0,7,7,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,a,1,0.6256,,,,,,,,0.6256,1,0,8,8,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,l,1,0.7675,,,,,,,,0.7675,1,0,9,9,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,a,1,0.9064,,,,,,,,0.9064,1,0,0,0,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,l,1,1.0189,,,,,,,,1.0189,1,0,1,1,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,a,1,0.7359,,,,,,,,0.7359,1,0,2,2,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,a,1,0.6093,,,,,,,,0.6093,1,0,3,3,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,a,1,0.6933,,,,,,,,0.6933,1,0,4,4,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,l,1,1.075,,,,,,,,1.075,1,0,5,5,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,a,1,0.5687,,,,,,,,0.5687,1,0,6,6,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,l,1,0.8211,,,,,,,,0.8211,1,0,7,7,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,l,1,1.1012,,,,,,,,1.1012,1,0,8,8,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,a,1,0.7344,,,,,,,,0.7344,1,0,9,9,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,a,1,0.9701,,,,,,,,0.9701,1,0,10,10,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,l,1,0.6676,,,,,,,,0.6676,1,0,11,11,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,l,1,0.8883,,,,,,,,0.8883,1,0,12,12,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,l,1,1.1567,,,,,,,,1.1567,1,0,13,13,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,a,1,1.1066,,,,,,,,1.1066,1,0,14,14,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Xueheng,1,001,male,2023-02-02_10h29.56.295,openIAT,2020.1.0rc3,Win32,60,l,1,0.6852,,,,,,,,0.6852,1,0,15,15,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
