instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.05859375,-0.359375,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.059895833,-0.372395833,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,a,1,1.5076,,,,,,,,1.5076,1,0,0,0,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,a,1,2.0647,,,,,,,,2.0647,1,0,1,1,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,a,0,0.3346,,,,,,,,0.3346,0,0,2,2,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,l,0,0.74,,,,,,,,0.74,0,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,l,1,1.2659,,,,,,,,1.2659,1,0,4,4,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,l,1,1.2253,,,,,,,,1.2253,1,0,5,5,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,a,1,1.2259,,,,,,,,1.2259,1,0,6,6,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,l,1,7.6508,,,,,,,,7.6508,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,a,1,1.6387,,,,,,,,1.6387,1,0,8,8,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,l,1,1.7569,,,,,,,,1.7569,1,0,9,9,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,a,1,35.8535,,,,,,,,35.8535,1,0,0,0,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,a,1,1.6388,,,,,,,,1.6388,1,0,1,1,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,l,1,0.7088,,,,,,,,0.7088,1,0,2,2,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,l,1,0.6524,,,,,,,,0.6524,1,0,3,3,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,l,1,0.6694,,,,,,,,0.6694,1,0,4,4,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,a,1,0.7423,,,,,,,,0.7423,1,0,5,5,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,a,1,1.0202,,,,,,,,1.0202,1,0,6,6,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,l,1,0.6452,,,,,,,,0.6452,1,0,7,7,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,l,1,0.736,,,,,,,,0.736,1,0,8,8,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,a,1,0.949,,,,,,,,0.949,1,0,9,9,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,l,1,1.6983,,,,,,,,1.6983,1,0,0,0,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,a,1,1.7997,,,,,,,,1.7997,1,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,l,1,1.128,,,,,,,,1.128,1,0,2,2,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,a,1,1.6293,,,,,,,,1.6293,1,0,3,3,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,l,1,0.853,,,,,,,,0.853,1,0,4,4,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,a,1,1.0454,,,,,,,,1.0454,1,0,5,5,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,a,1,0.903,,,,,,,,0.903,1,0,6,6,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,a,0,0.7006,,,,,,,,0.7006,0,0,7,7,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,a,1,0.8367,,,,,,,,0.8367,1,0,8,8,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,l,1,0.9419,,,,,,,,0.9419,1,0,9,9,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,a,1,1.8988,,,,,,,,1.8988,1,0,10,10,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,l,1,0.8799,,,,,,,,0.8799,1,0,11,11,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,l,1,0.8152,,,,,,,,0.8152,1,0,12,12,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,a,1,0.6258,,,,,,,,0.6258,1,0,13,13,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,a,1,0.7166,,,,,,,,0.7166,1,0,14,14,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,l,1,0.9158,,,,,,,,0.9158,1,0,15,15,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,a,1,0.7307,,,,,,,,0.7307,1,0,16,16,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,l,1,2.2489,,,,,,,,2.2489,1,0,17,17,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,a,1,1.0937,,,,,,,,1.0937,1,0,18,18,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,l,1,2.4044,,,,,,,,2.4044,1,0,19,19,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,cong_test.xlsx,"A = 
White or 
Positive","L = 
Black or 
Negative"
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,a,1,1.6237,,,,,,,,1.6237,1,0,0,0,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,a,1,1.3751,,,,,,,,1.3751,1,0,1,1,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,l,1,0.6258,,,,,,,,0.6258,1,0,2,2,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,l,1,0.7242,,,,,,,,0.7242,1,0,3,3,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,l,1,13.3471,,,,,,,,13.3471,1,0,4,4,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,l,1,1.3043,,,,,,,,1.3043,1,0,5,5,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,YO,1,001,male,2023-07-24_23h05.25.770,openIAT,2020.1.0rc3,Win32,60,l,1,2.197,,,,,,,,2.197,1,0,6,6,1,1,stimuli/white_1.jpg,,l,,,,,,,,
