instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.065186632,-0.401024306,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.146267361,-0.381961806,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.8927,,,,,,,,0.8927,1,0,0,0,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7635,,,,,,,,0.7635,1,0,1,1,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.8362,,,,,,,,0.8362,1,0,2,2,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7729,,,,,,,,0.7729,1,0,3,3,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6395,,,,,,,,0.6395,1,0,4,4,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7634,,,,,,,,0.7634,1,0,5,5,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7467,,,,,,,,0.7467,1,0,6,6,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.0969,,,,,,,,1.0969,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6172,,,,,,,,0.6172,1,0,8,8,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.682,,,,,,,,0.682,1,0,9,9,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,l,1,4.8526,,,,,,,,4.8526,1,0,0,0,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.4331,,,,,,,,1.4331,1,0,1,1,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.8331,,,,,,,,0.8331,1,0,2,2,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.8633,,,,,,,,1.8633,1,0,3,3,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.1018,,,,,,,,1.1018,1,0,4,4,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.8146,,,,,,,,0.8146,1,0,5,5,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.574,,,,,,,,0.574,1,0,6,6,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6743,,,,,,,,0.6743,1,0,7,7,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6623,,,,,,,,0.6623,1,0,8,8,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5787,,,,,,,,0.5787,1,0,9,9,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.0642,,,,,,,,1.0642,1,0,0,0,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.9981,,,,,,,,0.9981,1,0,1,1,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.9494,,,,,,,,0.9494,1,0,2,2,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.846,,,,,,,,1.846,1,0,3,3,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.9118,,,,,,,,0.9118,1,0,4,4,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.8824,,,,,,,,0.8824,1,0,5,5,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.693,,,,,,,,0.693,1,0,6,6,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.9453,,,,,,,,0.9453,1,0,7,7,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.9816,,,,,,,,0.9816,1,0,8,8,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.4704,,,,,,,,1.4704,1,0,9,9,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6475,,,,,,,,0.6475,1,0,10,10,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.9703,,,,,,,,0.9703,1,0,11,11,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.9254,,,,,,,,0.9254,1,0,12,12,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6659,,,,,,,,0.6659,1,0,13,13,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.922,,,,,,,,0.922,1,0,14,14,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7638,,,,,,,,0.7638,1,0,15,15,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6965,,,,,,,,0.6965,1,0,16,16,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.632,,,,,,,,0.632,1,0,17,17,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.2989,,,,,,,,1.2989,1,0,18,18,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7068,,,,,,,,0.7068,1,0,19,19,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,incong_test.xlsx,"A = 
Black or 
Positive","L = 
White or 
Negative"
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.0204,,,,,,,,1.0204,1,0,0,0,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,l,1,2.1973,,,,,,,,2.1973,1,0,1,1,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6469,,,,,,,,0.6469,1,0,2,2,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.1131,,,,,,,,1.1131,1,0,3,3,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7689,,,,,,,,0.7689,1,0,4,4,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.3135,,,,,,,,1.3135,1,0,5,5,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.8001,,,,,,,,0.8001,1,0,6,6,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7005,,,,,,,,0.7005,1,0,7,7,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5526,,,,,,,,0.5526,1,0,8,8,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.8356,,,,,,,,0.8356,1,0,9,9,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.9766,,,,,,,,0.9766,1,0,0,0,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Yuni,2,001,female,2022-02-28_12h14.37.614,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.6821,,,,,,,,1.6821,1,0,1,1,16,1,stimuli/blank.png,Love,a,,,,,,,,
