instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.044444444,-0.398148176,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Z,2,001,male,2022-05-10_10h51.40.865,openIAT,2020.1.0rc3,Linux armv8l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.013888889,-0.402777778,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Z,2,001,male,2022-05-10_10h51.40.865,openIAT,2020.1.0rc3,Linux armv8l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Z,2,001,male,2022-05-10_10h51.40.865,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.372222222,-0.312963019,1,0,0,1.4939,button_right,1.4939,1,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Z,2,001,male,2022-05-10_10h51.40.865,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.355555556,-0.304629686,1,0,0,0.8457,button_right,0.8457,1,0,1,1,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Z,2,001,male,2022-05-10_10h51.40.865,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.408333333,-0.362037065,1,0,0,0.6987,button_left,0.6987,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Z,2,001,male,2022-05-10_10h51.40.865,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.363888889,-0.299074131,1,0,0,0.7013,button_right,0.7013,1,0,3,3,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Z,2,001,male,2022-05-10_10h51.40.865,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.431481478,-0.308333333,1,0,0,0.7711,button_left,0.7711,1,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Z,2,001,male,2022-05-10_10h51.40.865,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.352777778,-0.297222222,1,0,0,0.7858,button_right,0.7858,0,0,5,5,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Z,2,001,male,2022-05-10_10h51.40.865,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.358333333,-0.312037065,1,0,0,1.3668,button_right,1.3668,1,0,6,6,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Z,2,001,male,2022-05-10_10h51.40.865,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.340740797,-0.289814843,1,0,0,0.7334,button_right,0.7334,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
