instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,key_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.105978261,-0.387228261,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",a7,1,001,male,2020-12-17_09h15.51.370,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.029891304,-0.433423913,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",a7,1,001,male,2020-12-17_09h15.51.370,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,a7,1,001,male,2020-12-17_09h15.51.370,openIAT,2020.1.0rc3,MacIntel,60,,0,0.42798913,-0.29076087,1,0,0,0.657,button_right,0.657,1,0,0,0,3,1,stimuli/blank.png,Hurt,l,,,,,,,,,
,,,,,,,,,,,,,a7,1,001,male,2020-12-17_09h15.51.370,openIAT,2020.1.0rc3,MacIntel,60,,0,0.403532609,-0.332880435,1,0,0,1.6,button_right,1.6,1,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,,
,,,,,,,,,,,,,a7,1,001,male,2020-12-17_09h15.51.370,openIAT,2020.1.0rc3,MacIntel,60,,0,0.289402174,-0.279891304,1,0,0,40.162,button_right,40.162,1,0,2,2,5,1,stimuli/blank.png,Agony,l,,,,,,,,,
,,,,,,,,,,,,,a7,1,001,male,2020-12-17_09h15.51.370,openIAT,2020.1.0rc3,MacIntel,60,,0,0.381793478,-0.316576087,1,0,0,1.103,button_right,1.103,1,0,3,3,7,1,stimuli/blank.png,Evil,l,,,,,,,,,
,,,,,,,,,,,,,a7,1,001,male,2020-12-17_09h15.51.370,openIAT,2020.1.0rc3,MacIntel,60,,0,0.381793478,-0.316576087,1,0,0,0.841,button_right,0.841,1,0,4,4,1,1,stimuli/blank.png,Bad,l,,,,,,,,,
,,,,,,,,,,,,,a7,1,001,male,2020-12-17_09h15.51.370,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.376358696,-0.305706522,1,0,0,0.784,button_left,0.784,1,0,5,5,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,,
,,,,,,,,,,,,,a7,1,001,male,2020-12-17_09h15.51.370,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.400815217,-0.27173913,1,0,0,0.799,button_left,0.799,1,0,6,6,2,1,stimuli/blank.png,Happy,a,,,,,,,,,
,,,,,,,,,,,,,a7,1,001,male,2020-12-17_09h15.51.370,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.385869565,-0.292119565,1,0,0,0.736,button_left,0.736,1,0,7,7,8,1,stimuli/blank.png,Joy,a,,,,,,,,,
,,,,,,,,,,,,,a7,1,001,male,2020-12-17_09h15.51.370,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.385869565,-0.292119565,1,0,0,1.553,button_left,1.553,1,0,8,8,6,1,stimuli/blank.png,Love,a,,,,,,,,,
,,,,,,,,,,,,,a7,1,001,male,2020-12-17_09h15.51.370,openIAT,2020.1.0rc3,MacIntel,60,a,1,,,,,,,,0.945,1,0,9,9,0,1,stimuli/blank.png,Good,a,0.945,,,,,,,,
,,,,,,,,,,,,,a7,1,001,male,2020-12-17_09h15.51.370,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,a7,1,001,male,2020-12-17_09h15.51.370,openIAT,2020.1.0rc3,MacIntel,60,l,0,,,,,,,,1.925,0,0,0,0,1,1,stimuli/white_1.jpg,NaN,a,1.925,,,,,,,,
,,,,,,,,,,,,,a7,1,001,male,2020-12-17_09h15.51.370,openIAT,2020.1.0rc3,MacIntel,60,,0,0.319293478,-0.345108696,1,0,0,2.396,button_right,2.396,1,0,1,1,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,,
,,,,,,,,,,,,,a7,1,001,male,2020-12-17_09h15.51.370,openIAT,2020.1.0rc3,MacIntel,60,,0,0.355978261,-0.298913043,1,0,0,2.476,button_right,2.476,0,0,2,2,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,,
,,,,,,,,,,,,,a7,1,001,male,2020-12-17_09h15.51.370,openIAT,2020.1.0rc3,MacIntel,60,,0,0.387228261,-0.349184783,1,0,0,0.631,button_right,0.631,1,0,3,3,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,,
,,,,,,,,,,,,,a7,1,001,male,2020-12-17_09h15.51.370,openIAT,2020.1.0rc3,MacIntel,60,,0,0.366847826,-0.296195652,1,0,0,0.516,button_right,0.516,1,0,4,4,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,,
,,,,,,,,,,,,,a7,1,001,male,2020-12-17_09h15.51.370,openIAT,2020.1.0rc3,MacIntel,60,,0,0.366847826,-0.296195652,1,0,0,0.666,button_right,0.666,1,0,5,5,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,,
,,,,,,,,,,,,,a7,1,001,male,2020-12-17_09h15.51.370,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.453804348,-0.335597826,1,0,0,0.889,button_left,0.889,1,0,6,6,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,,
,,,,,,,,,,,,,a7,1,001,male,2020-12-17_09h15.51.370,openIAT,2020.1.0rc3,MacIntel,60,,0,0.311141304,-0.308423913,1,0,0,1.118,button_right,1.118,1,0,7,7,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,,
,,,,,,,,,,,,,a7,1,001,male,2020-12-17_09h15.51.370,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.433423913,-0.260869565,1,0,0,1.12,button_left,1.12,1,0,8,8,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,,
,,,,,,,,,,,,,a7,1,001,male,2020-12-17_09h15.51.370,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.577445652,-0.288043478,1,0,0,2.008,button_left,2.008,1,0,9,9,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,,
,,,,,,,,,,,,,a7,1,001,male,2020-12-17_09h15.51.370,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
