instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.027262573,-0.386170993,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",a,2,001,male,2022-04-11_13h24.30.384,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03650194,-0.401774156,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",a,2,001,male,2022-04-11_13h24.30.384,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,a,2,001,male,2022-04-11_13h24.30.384,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.245254042,-0.343986952,1,0,0,1.0148,button_left,1.0148,1,0,0,0,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,a,2,001,male,2022-04-11_13h24.30.384,openIAT,2020.1.0rc3,MacIntel,60,,0,0.262070109,-0.330838623,1,0,0,1.2155,button_right,1.2155,1,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,a,2,001,male,2022-04-11_13h24.30.384,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.33468238,-0.340152181,1,0,0,1.1161,button_left,1.1161,1,0,2,2,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,a,2,001,male,2022-04-11_13h24.30.384,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.259202271,-0.338921305,1,0,0,0.8324,button_left,0.8324,1,0,3,3,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,a,2,001,male,2022-04-11_13h24.30.384,openIAT,2020.1.0rc3,MacIntel,60,,0,0.328608059,-0.296133491,1,0,0,1.263,button_right,1.263,1,0,4,4,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,a,2,001,male,2022-04-11_13h24.30.384,openIAT,2020.1.0rc3,MacIntel,60,,0,0.207422214,-0.302334595,1,0,0,1.0308,button_right,1.0308,1,0,5,5,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,a,2,001,male,2022-04-11_13h24.30.384,openIAT,2020.1.0rc3,MacIntel,60,,0,0.348243544,-0.289067383,1,0,0,1.2996,button_right,1.2996,1,0,6,6,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,a,2,001,male,2022-04-11_13h24.30.384,openIAT,2020.1.0rc3,MacIntel,60,,0,0.265874973,-0.286650865,1,0,0,1.0649,button_right,1.0649,1,0,7,7,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,a,2,001,male,2022-04-11_13h24.30.384,openIAT,2020.1.0rc3,MacIntel,60,,0,0.265874973,-0.286650865,1,0,0,0.5987,button_right,0.5987,0,0,8,8,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
