instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.06793457,-0.423027344,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",ab,2,001,male,2022-07-03_09h44.51.709,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.037509766,-0.409228516,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",ab,2,001,male,2022-07-03_09h44.51.709,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ab,2,001,male,2022-07-03_09h44.51.709,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.8858,,,,,,,,0.8858,0,0,0,0,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,ab,2,001,male,2022-07-03_09h44.51.709,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7432,,,,,,,,0.7432,1,0,1,1,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,ab,2,001,male,2022-07-03_09h44.51.709,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7142,,,,,,,,0.7142,1,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,ab,2,001,male,2022-07-03_09h44.51.709,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5967,,,,,,,,0.5967,1,0,3,3,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,ab,2,001,male,2022-07-03_09h44.51.709,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6283,,,,,,,,0.6283,1,0,4,4,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,ab,2,001,male,2022-07-03_09h44.51.709,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6287,,,,,,,,0.6287,1,0,5,5,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,ab,2,001,male,2022-07-03_09h44.51.709,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.511,,,,,,,,0.511,1,0,6,6,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,ab,2,001,male,2022-07-03_09h44.51.709,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.0271,,,,,,,,0.0271,0,0,7,7,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,ab,2,001,male,2022-07-03_09h44.51.709,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6076,,,,,,,,0.6076,1,0,8,8,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,ab,2,001,male,2022-07-03_09h44.51.709,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.2951,,,,,,,,1.2951,1,0,9,9,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,ab,2,001,male,2022-07-03_09h44.51.709,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,ab,2,001,male,2022-07-03_09h44.51.709,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.8069,,,,,,,,0.8069,1,0,0,0,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,ab,2,001,male,2022-07-03_09h44.51.709,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7968,,,,,,,,0.7968,1,0,1,1,5,1,stimuli/white_3.jpg,,l,,,,,,,,
