instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.11481483,-0.38703705,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.11481483,-0.38703705,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,a,1,2.7796,,,,,,,,2.7796,1,0,0,0,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,l,1,1.3917,,,,,,,,1.3917,1,0,1,1,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,a,0,1.5745,,,,,,,,1.5745,0,0,2,2,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,a,1,2.4634,,,,,,,,2.4634,1,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,l,0,2.345,,,,,,,,2.345,0,0,4,4,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,l,1,8.2912,,,,,,,,8.2912,1,0,5,5,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,a,1,1.1418,,,,,,,,1.1418,1,0,6,6,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,l,1,0.8061,,,,,,,,0.8061,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,a,1,2.0394,,,,,,,,2.0394,1,0,8,8,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,l,1,0.6317,,,,,,,,0.6317,1,0,9,9,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,a,1,1.7191,,,,,,,,1.7191,1,0,0,0,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,l,1,1.5149,,,,,,,,1.5149,1,0,1,1,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,a,0,1.1251,,,,,,,,1.1251,0,0,2,2,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,a,0,1.2304,,,,,,,,1.2304,0,0,3,3,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,a,1,1.7874,,,,,,,,1.7874,1,0,4,4,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,l,1,1.0399,,,,,,,,1.0399,1,0,5,5,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,l,1,1.0628,,,,,,,,1.0628,1,0,6,6,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,l,0,0.856,,,,,,,,0.856,0,0,7,7,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,a,1,0.93,,,,,,,,0.93,1,0,8,8,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,a,1,3.378,,,,,,,,3.378,1,0,9,9,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,l,1,5.8282,,,,,,,,5.8282,1,0,0,0,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,l,1,0.8995,,,,,,,,0.8995,1,0,1,1,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,a,1,0.7397,,,,,,,,0.7397,1,0,2,2,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,a,1,3.991,,,,,,,,3.991,1,0,3,3,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,a,1,2.0999,,,,,,,,2.0999,1,0,4,4,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,a,1,2.3431,,,,,,,,2.3431,1,0,5,5,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,l,1,0.9991,,,,,,,,0.9991,1,0,6,6,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,abcde,2,001,male,2023-01-27_00h37.23.180,openIAT,2020.1.0rc3,Win32,60,a,0,1.9828,,,,,,,,1.9828,0,0,7,7,17,1,stimuli/blank.png,Evil,l,,,,,,,,
