instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.000925926,-0.398148148,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",adasdf,1,001,male,2022-07-10_09h50.07.511,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.001851852,-0.398148148,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",adasdf,1,001,male,2022-07-10_09h50.07.511,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,adasdf,1,001,male,2022-07-10_09h50.07.511,openIAT,2020.1.0rc3,Win32,60,,0,0.287037037,-0.203703704,1,0,0,1.2665,button_right,1.2665,1,0,0,0,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,adasdf,1,001,male,2022-07-10_09h50.07.511,openIAT,2020.1.0rc3,Win32,60,,0,0.414814815,-0.262037037,1,0,0,1.4841,button_right,1.4841,0,0,1,1,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,adasdf,1,001,male,2022-07-10_09h50.07.511,openIAT,2020.1.0rc3,Win32,60,,0,0.419444444,-0.253703704,1,0,0,1.4665,button_right,1.4665,0,0,2,2,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,adasdf,1,001,male,2022-07-10_09h50.07.511,openIAT,2020.1.0rc3,Win32,60,,0,0.476851852,-0.275,1,0,0,2.3681,button_right,2.3681,0,0,3,3,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,adasdf,1,001,male,2022-07-10_09h50.07.511,openIAT,2020.1.0rc3,Win32,60,,0,0.350925926,-0.297222222,1,0,0,1.2994,button_right,1.2994,1,0,4,4,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,adasdf,1,001,male,2022-07-10_09h50.07.511,openIAT,2020.1.0rc3,Win32,60,,0,0.500925926,-0.275,1,0,0,1.935,button_right,1.935,1,0,5,5,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,adasdf,1,001,male,2022-07-10_09h50.07.511,openIAT,2020.1.0rc3,Win32,60,,0,0.437962963,-0.278703704,1,0,0,1.3674,button_right,1.3674,0,0,6,6,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,adasdf,1,001,male,2022-07-10_09h50.07.511,openIAT,2020.1.0rc3,Win32,60,,0,0.441666667,-0.29537037,1,0,0,1.2008,button_right,1.2008,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,adasdf,1,001,male,2022-07-10_09h50.07.511,openIAT,2020.1.0rc3,Win32,60,,0,-0.305555556,-0.275,1,0,0,1.7519,button_left,1.7519,0,0,8,8,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,adasdf,1,001,male,2022-07-10_09h50.07.511,openIAT,2020.1.0rc3,Win32,60,,0,-0.217592593,-0.282407407,1,0,0,1.384,button_left,1.384,1,0,9,9,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,adasdf,1,001,male,2022-07-10_09h50.07.511,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,adasdf,1,001,male,2022-07-10_09h50.07.511,openIAT,2020.1.0rc3,Win32,60,,0,-0.272222222,-0.300925926,1,0,0,4.0879,button_left,4.0879,1,0,0,0,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,adasdf,1,001,male,2022-07-10_09h50.07.511,openIAT,2020.1.0rc3,Win32,60,,0,0.294444444,-0.281481481,1,0,0,1.0833,button_right,1.0833,1,0,1,1,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,adasdf,1,001,male,2022-07-10_09h50.07.511,openIAT,2020.1.0rc3,Win32,60,,0,0.344444444,-0.266666667,1,0,0,1.3511,button_right,1.3511,1,0,2,2,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,adasdf,1,001,male,2022-07-10_09h50.07.511,openIAT,2020.1.0rc3,Win32,60,,0,-0.340740741,-0.265740741,1,0,0,1.4525,button_left,1.4525,1,0,3,3,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,adasdf,1,001,male,2022-07-10_09h50.07.511,openIAT,2020.1.0rc3,Win32,60,,0,-0.350925926,-0.301851852,1,0,0,2.9854,button_left,2.9854,1,0,4,4,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,adasdf,1,001,male,2022-07-10_09h50.07.511,openIAT,2020.1.0rc3,Win32,60,,0,0.419444444,-0.265740741,1,0,0,1.4004,button_right,1.4004,1,0,5,5,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,adasdf,1,001,male,2022-07-10_09h50.07.511,openIAT,2020.1.0rc3,Win32,60,,0,-0.284259259,-0.250925926,1,0,0,1.7507,button_left,1.7507,1,0,6,6,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,adasdf,1,001,male,2022-07-10_09h50.07.511,openIAT,2020.1.0rc3,Win32,60,,0,0.403703704,-0.287962963,1,0,0,1.0171,button_right,1.0171,1,0,7,7,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,adasdf,1,001,male,2022-07-10_09h50.07.511,openIAT,2020.1.0rc3,Win32,60,,0,-0.282407407,-0.280555556,1,0,0,3.7205,button_left,3.7205,1,0,8,8,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,adasdf,1,001,male,2022-07-10_09h50.07.511,openIAT,2020.1.0rc3,Win32,60,,0,0.361111111,-0.240740741,1,0,0,0.9678,button_right,0.9678,1,0,9,9,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,adasdf,1,001,male,2022-07-10_09h50.07.511,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
