instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.010185242,-0.392592621,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.010185242,-0.392592621,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,a,0,3.4043,,,,,,,,3.4043,0,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,a,1,2.8576,,,,,,,,2.8576,1,0,1,1,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,1,1.3172,,,,,,,,1.3172,1,0,2,2,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,1,0.793,,,,,,,,0.793,1,0,3,3,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,0,0.552799999,,,,,,,,0.552799999,0,0,4,4,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,a,1,0.4901,,,,,,,,0.4901,1,0,5,5,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,1,0.530799999,,,,,,,,0.530799999,1,0,6,6,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,a,1,0.447799999,,,,,,,,0.447799999,1,0,7,7,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,1,0.3695,,,,,,,,0.3695,1,0,8,8,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,0,0.5627,,,,,,,,0.5627,0,0,9,9,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,1,1.185,,,,,,,,1.185,1,0,0,0,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,a,1,1.585400001,,,,,,,,1.585400001,1,0,1,1,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,1,2.6298,,,,,,,,2.6298,1,0,2,2,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,a,0,1.397799999,,,,,,,,1.397799999,0,0,3,3,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,a,1,2.2626,,,,,,,,2.2626,1,0,4,4,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,1,1.8906,,,,,,,,1.8906,1,0,5,5,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,a,1,0.7106,,,,,,,,0.7106,1,0,6,6,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,0,0.4099,,,,,,,,0.4099,0,0,7,7,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,a,0,0.416099999,,,,,,,,0.416099999,0,0,8,8,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,0,0.021900001,,,,,,,,0.021900001,0,0,9,9,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,1,2.064,,,,,,,,2.064,1,0,0,0,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,0,0.6336,,,,,,,,0.6336,0,0,1,1,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,a,0,0.5656,,,,,,,,0.5656,0,0,2,2,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,0,0.364799999,,,,,,,,0.364799999,0,0,3,3,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,0,0.2883,,,,,,,,0.2883,0,0,4,4,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,a,0,0.390099999,,,,,,,,0.390099999,0,0,5,5,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,1,0.358,,,,,,,,0.358,1,0,6,6,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,a,0,1.679099999,,,,,,,,1.679099999,0,0,7,7,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,0,0.410700001,,,,,,,,0.410700001,0,0,8,8,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,a,1,0.491,,,,,,,,0.491,1,0,9,9,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,a,1,0.3255,,,,,,,,0.3255,1,0,10,10,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,1,0.263900001,,,,,,,,0.263900001,1,0,11,11,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,1,0.5798,,,,,,,,0.5798,1,0,12,12,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,1,0.371299999,,,,,,,,0.371299999,1,0,13,13,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,0,0.4641,,,,,,,,0.4641,0,0,14,14,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,a,1,0.5269,,,,,,,,0.5269,1,0,15,15,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,0,0.282099999,,,,,,,,0.282099999,0,0,16,16,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,a,0,0.5269,,,,,,,,0.5269,0,0,17,17,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,1,0.3429,,,,,,,,0.3429,1,0,18,18,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,0,0.102,,,,,,,,0.102,0,0,19,19,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,cong_test.xlsx,"A = 
White or 
Positive","L = 
Black or 
Negative"
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,0,1.6591,,,,,,,,1.6591,0,0,0,0,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,a,0,0.1177,,,,,,,,0.1177,0,0,1,1,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,1,0.0106,,,,,,,,0.0106,1,0,2,2,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,0,0.193,,,,,,,,0.193,0,0,3,3,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,1,0.012,,,,,,,,0.012,1,0,4,4,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,1,0.2835,,,,,,,,0.2835,1,0,5,5,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,0,0.5067,,,,,,,,0.5067,0,0,6,6,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,0,0.7417,,,,,,,,0.7417,0,0,7,7,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,0,0.2689,,,,,,,,0.2689,0,0,8,8,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,1,0.053400001,,,,,,,,0.053400001,1,0,9,9,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,a,0,0.541400001,,,,,,,,0.541400001,0,0,0,0,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,0,0.8467,,,,,,,,0.8467,0,0,1,1,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,0,0.0354,,,,,,,,0.0354,0,0,2,2,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,a,0,0.0642,,,,,,,,0.0642,0,0,3,3,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,a,1,0.078400001,,,,,,,,0.078400001,1,0,4,4,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,1,1.3454,,,,,,,,1.3454,1,0,5,5,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,0,1.7201,,,,,,,,1.7201,0,0,6,6,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,1,0.458599999,,,,,,,,0.458599999,1,0,7,7,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,a,0,0.360900001,,,,,,,,0.360900001,0,0,8,8,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,1,0.0285,,,,,,,,0.0285,1,0,9,9,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,a,1,0.1465,,,,,,,,0.1465,1,0,10,10,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,a,0,0.1091,,,,,,,,0.1091,0,0,11,11,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,0,0.009900001,,,,,,,,0.009900001,0,0,12,12,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,0,0.0763,,,,,,,,0.0763,0,0,13,13,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,1,0.3812,,,,,,,,0.3812,1,0,14,14,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,0,0.076700001,,,,,,,,0.076700001,0,0,15,15,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,l,0,0.3158,,,,,,,,0.3158,0,0,16,16,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,a,0,0.3149,,,,,,,,0.3149,0,0,17,17,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,a,1,0.168900001,,,,,,,,0.168900001,1,0,18,18,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,af,1,001,male,2024-02-06_10h10.10.561,openIAT,2020.1.0rc3,Win32,60,a,0,0.096599999,,,,,,,,0.096599999,0,0,19,19,17,1,stimuli/blank.png,Evil,l,,,,,,,,
