instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns
-0.007407338,-0.408333347,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",ali,1,001,male,2021-05-23_14h40.42.279,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,
-0.00833332,-0.402777791,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",ali,1,001,male,2021-05-23_14h40.42.279,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ali,1,001,male,2021-05-23_14h40.42.279,openIAT,2020.1.0rc3,Win32,60,a,0,1.241975,,,,,,,,1.241975,0,0,0,0,3,1,stimuli/blank.png,Hurt,l
,,,,,,,,,,,,,ali,1,001,male,2021-05-23_14h40.42.279,openIAT,2020.1.0rc3,Win32,60,l,1,0.782965,,,,,,,,0.782965,1,0,1,1,7,1,stimuli/blank.png,Evil,l
,,,,,,,,,,,,,ali,1,001,male,2021-05-23_14h40.42.279,openIAT,2020.1.0rc3,Win32,60,a,1,0.909535,,,,,,,,0.909535,1,0,2,2,4,1,stimuli/blank.png,Pleasure,a
,,,,,,,,,,,,,ali,1,001,male,2021-05-23_14h40.42.279,openIAT,2020.1.0rc3,Win32,60,a,0,1.006985,,,,,,,,1.006985,0,0,3,3,9,1,stimuli/blank.png,Nasty,l
,,,,,,,,,,,,,ali,1,001,male,2021-05-23_14h40.42.279,openIAT,2020.1.0rc3,Win32,60,l,0,0.52533,,,,,,,,0.52533,0,0,4,4,0,1,stimuli/blank.png,Good,a
,,,,,,,,,,,,,ali,1,001,male,2021-05-23_14h40.42.279,openIAT,2020.1.0rc3,Win32,60,a,1,1.152705,,,,,,,,1.152705,1,0,5,5,2,1,stimuli/blank.png,Happy,a
,,,,,,,,,,,,,ali,1,001,male,2021-05-23_14h40.42.279,openIAT,2020.1.0rc3,Win32,60,a,1,1.003475,,,,,,,,1.003475,1,0,6,6,8,1,stimuli/blank.png,Joy,a
,,,,,,,,,,,,,ali,1,001,male,2021-05-23_14h40.42.279,openIAT,2020.1.0rc3,Win32,60,a,0,2.844535,,,,,,,,2.844535,0,0,7,7,5,1,stimuli/blank.png,Agony,l
,,,,,,,,,,,,,ali,1,001,male,2021-05-23_14h40.42.279,openIAT,2020.1.0rc3,Win32,60,l,0,1.18228,,,,,,,,1.18228,0,0,8,8,6,1,stimuli/blank.png,Love,a
