instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.006481468,-0.381481551,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",ali,2,001,male,2021-05-31_13h53.23.286,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.010185172,-0.383333346,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",ali,2,001,male,2021-05-31_13h53.23.286,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ali,2,001,male,2021-05-31_13h53.23.286,openIAT,2020.1.0rc3,Win32,60,l,0,0.5628,,,,,,,,0.5628,0,0,0,0,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,ali,2,001,male,2021-05-31_13h53.23.286,openIAT,2020.1.0rc3,Win32,60,a,1,0.464235,,,,,,,,0.464235,1,0,1,1,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,ali,2,001,male,2021-05-31_13h53.23.286,openIAT,2020.1.0rc3,Win32,60,l,1,2.852095,,,,,,,,2.852095,1,0,2,2,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,ali,2,001,male,2021-05-31_13h53.23.286,openIAT,2020.1.0rc3,Win32,60,a,0,0.897295,,,,,,,,0.897295,0,0,3,3,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,ali,2,001,male,2021-05-31_13h53.23.286,openIAT,2020.1.0rc3,Win32,60,,0,,-0.476851846,-0.252777789,1,0,0,14.0037,button_left,14.0037,0,0,4,4,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,ali,2,001,male,2021-05-31_13h53.23.286,openIAT,2020.1.0rc3,Win32,60,,0,,0.346296428,-0.307407476,1,0,0,5.999645,button_right,5.999645,0,0,5,5,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,ali,2,001,male,2021-05-31_13h53.23.286,openIAT,2020.1.0rc3,Win32,60,l,1,120.157815,0.133070883,0.223359544,1,0,0,119.077705,,120.157815,1,0,6,6,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,ali,2,001,male,2021-05-31_13h53.23.286,openIAT,2020.1.0rc3,Win32,60,l,0,0.68312,,,,,,,,0.68312,0,0,7,7,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,ali,2,001,male,2021-05-31_13h53.23.286,openIAT,2020.1.0rc3,Win32,60,a,0,1.084135,,,,,,,,1.084135,0,0,8,8,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,ali,2,001,male,2021-05-31_13h53.23.286,openIAT,2020.1.0rc3,Win32,60,a,1,1.72371,,,,,,,,1.72371,1,0,9,9,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,ali,2,001,male,2021-05-31_13h53.23.286,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,ali,2,001,male,2021-05-31_13h53.23.286,openIAT,2020.1.0rc3,Win32,60,a,1,4.88927,,,,,,,,4.88927,1,0,0,0,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,ali,2,001,male,2021-05-31_13h53.23.286,openIAT,2020.1.0rc3,Win32,60,l,1,1.43262,,,,,,,,1.43262,1,0,1,1,7,1,stimuli/white_4.jpg,,l,,,,,,,,
