instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.05092594,-0.389814828,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",ali,1,001,male,2021-08-30_15h13.56.486,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.019444458,-0.162962973,0,0,0,,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",ali,1,001,male,2021-08-30_15h13.56.486,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ali,1,001,male,2021-08-30_15h13.56.486,openIAT,2020.1.0rc3,Win32,60,a,1,2.9277,,,,,,,,2.9277,1,0,0,0,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,ali,1,001,male,2021-08-30_15h13.56.486,openIAT,2020.1.0rc3,Win32,60,l,1,1.0392,,,,,,,,1.0392,1,0,1,1,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,ali,1,001,male,2021-08-30_15h13.56.486,openIAT,2020.1.0rc3,Win32,60,l,1,1.0862,,,,,,,,1.0862,1,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,ali,1,001,male,2021-08-30_15h13.56.486,openIAT,2020.1.0rc3,Win32,60,l,1,1.0994,,,,,,,,1.0994,1,0,3,3,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,ali,1,001,male,2021-08-30_15h13.56.486,openIAT,2020.1.0rc3,Win32,60,a,1,0.7135,,,,,,,,0.7135,1,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,ali,1,001,male,2021-08-30_15h13.56.486,openIAT,2020.1.0rc3,Win32,60,a,1,2.0993,,,,,,,,2.0993,1,0,5,5,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,ali,1,001,male,2021-08-30_15h13.56.486,openIAT,2020.1.0rc3,Win32,60,l,1,1.4317,,,,,,,,1.4317,1,0,6,6,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,ali,1,001,male,2021-08-30_15h13.56.486,openIAT,2020.1.0rc3,Win32,60,a,1,0.7507,,,,,,,,0.7507,1,0,7,7,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,ali,1,001,male,2021-08-30_15h13.56.486,openIAT,2020.1.0rc3,Win32,60,a,1,0.5631,,,,,,,,0.5631,1,0,8,8,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,ali,1,001,male,2021-08-30_15h13.56.486,openIAT,2020.1.0rc3,Win32,60,l,1,1.4692,,,,,,,,1.4692,1,0,9,9,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,ali,1,001,male,2021-08-30_15h13.56.486,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,ali,1,001,male,2021-08-30_15h13.56.486,openIAT,2020.1.0rc3,Win32,60,l,1,1.9292,,,,,,,,1.9292,1,0,0,0,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,ali,1,001,male,2021-08-30_15h13.56.486,openIAT,2020.1.0rc3,Win32,60,l,1,0.6348,,,,,,,,0.6348,1,0,1,1,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
