instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.09722221,-0.367592662,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.103703692,-0.383333346,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,1,1.23285,,,,,,,,1.23285,1,0,0,0,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,1,0.617525,,,,,,,,0.617525,1,0,1,1,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,1,0.620515,,,,,,,,0.620515,1,0,2,2,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,0,0.625915,,,,,,,,0.625915,0,0,3,3,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,1,0.95491,,,,,,,,0.95491,1,0,4,4,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,1,1.317405,,,,,,,,1.317405,1,0,5,5,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,1,1.016915,,,,,,,,1.016915,1,0,6,6,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,1,0.751,,,,,,,,0.751,1,0,7,7,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,1,0.784335,,,,,,,,0.784335,1,0,8,8,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,1,1.941295,,,,,,,,1.941295,1,0,9,9,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,1,0.88429,,,,,,,,0.88429,1,0,0,0,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,1,0.890515,,,,,,,,0.890515,1,0,1,1,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,0,0.6846,,,,,,,,0.6846,0,0,2,2,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,1,2.64158,,,,,,,,2.64158,1,0,3,3,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,1,0.717535,,,,,,,,0.717535,1,0,4,4,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,1,0.71744,,,,,,,,0.71744,1,0,5,5,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,1,1.068035,,,,,,,,1.068035,1,0,6,6,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,1,0.601055,,,,,,,,0.601055,1,0,7,7,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,0,0.624765,,,,,,,,0.624765,0,0,8,8,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,1,0.506125,,,,,,,,0.506125,1,0,9,9,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,1,1.626705,,,,,,,,1.626705,1,0,0,0,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,0,0.616045,,,,,,,,0.616045,0,0,1,1,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,1,0.676895,,,,,,,,0.676895,1,0,2,2,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,1,0.84803,,,,,,,,0.84803,1,0,3,3,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,1,0.789675,,,,,,,,0.789675,1,0,4,4,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,1,0.906835,,,,,,,,0.906835,1,0,5,5,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,0,0.33111,,,,,,,,0.33111,0,0,6,6,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,0,0.159495,,,,,,,,0.159495,0,0,7,7,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,0,0.0144,,,,,,,,0.0144,0,0,8,8,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,0,0.00132,,,,,,,,0.00132,0,0,9,9,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,1,0.00133,,,,,,,,0.00133,1,0,10,10,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,0,0.05608,,,,,,,,0.05608,0,0,11,11,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,0,0.109235,,,,,,,,0.109235,0,0,12,12,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,1,0.054435,,,,,,,,0.054435,1,0,13,13,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,1,27.50661,,,,,,,,27.50661,1,0,14,14,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,0,0.117905,,,,,,,,0.117905,0,0,15,15,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,1,0.00087,,,,,,,,0.00087,1,0,16,16,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,1,1.190115,,,,,,,,1.190115,1,0,17,17,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,1,0.28861,,,,,,,,0.28861,1,0,18,18,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,1,0.824255,,,,,,,,0.824255,1,0,19,19,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,cong_test.xlsx,"A = 
White or 
Positive","L = 
Black or 
Negative"
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,1,0.80483,,,,,,,,0.80483,1,0,0,0,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,1,0.451185,,,,,,,,0.451185,1,0,1,1,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,0,0.2828,,,,,,,,0.2828,0,0,2,2,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,0,0.334225,,,,,,,,0.334225,0,0,3,3,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,1,0.75481,,,,,,,,0.75481,1,0,4,4,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,1,12.89989,,,,,,,,12.89989,1,0,5,5,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,1,0.51659,,,,,,,,0.51659,1,0,6,6,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,0,0.417645,,,,,,,,0.417645,0,0,7,7,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,0,0.355525,,,,,,,,0.355525,0,0,8,8,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,1,0.46936,,,,,,,,0.46936,1,0,9,9,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,1,0.48513,,,,,,,,0.48513,1,0,0,0,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,0,0.84269,,,,,,,,0.84269,0,0,1,1,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,0,0.41767,,,,,,,,0.41767,0,0,2,2,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,1,0.542385,,,,,,,,0.542385,1,0,3,3,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,1,0.53414,,,,,,,,0.53414,1,0,4,4,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,1,0.49328,,,,,,,,0.49328,1,0,5,5,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,0,0.35071,,,,,,,,0.35071,0,0,6,6,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,0,0.25141,,,,,,,,0.25141,0,0,7,7,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,0,0.34975,,,,,,,,0.34975,0,0,8,8,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,l,0,0.76758,,,,,,,,0.76758,0,0,9,9,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,0,0.38432,,,,,,,,0.38432,0,0,10,10,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,amy banks,1,001,male,2020-12-30_14h52.26.640,openIAT,2020.1.0rc3,Win32,60,a,1,0.317675,,,,,,,,0.317675,1,0,11,11,6,1,stimuli/black_4.jpg,,a,,,,,,,,
