instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.116666653,-0.37962963,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",anyeli,2,001,male,2023-04-11_17h12.26.120,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.136111083,-0.391666695,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",anyeli,2,001,male,2023-04-11_17h12.26.120,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,anyeli,2,001,male,2023-04-11_17h12.26.120,openIAT,2020.1.0rc3,Win32,60,l,1,13.4761,,,,,,,,13.4761,1,0,0,0,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,anyeli,2,001,male,2023-04-11_17h12.26.120,openIAT,2020.1.0rc3,Win32,60,a,1,3.4615,,,,,,,,3.4615,1,0,1,1,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,anyeli,2,001,male,2023-04-11_17h12.26.120,openIAT,2020.1.0rc3,Win32,60,l,1,7.1973,,,,,,,,7.1973,1,0,2,2,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,anyeli,2,001,male,2023-04-11_17h12.26.120,openIAT,2020.1.0rc3,Win32,60,a,1,4.9688,,,,,,,,4.9688,1,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,anyeli,2,001,male,2023-04-11_17h12.26.120,openIAT,2020.1.0rc3,Win32,60,l,1,9.4091,,,,,,,,9.4091,1,0,4,4,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,anyeli,2,001,male,2023-04-11_17h12.26.120,openIAT,2020.1.0rc3,Win32,60,l,1,5.0817,,,,,,,,5.0817,1,0,5,5,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,anyeli,2,001,male,2023-04-11_17h12.26.120,openIAT,2020.1.0rc3,Win32,60,a,1,5.4578,,,,,,,,5.4578,1,0,6,6,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,anyeli,2,001,male,2023-04-11_17h12.26.120,openIAT,2020.1.0rc3,Win32,60,a,1,1.5513,,,,,,,,1.5513,1,0,7,7,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,anyeli,2,001,male,2023-04-11_17h12.26.120,openIAT,2020.1.0rc3,Win32,60,l,1,4.6318,,,,,,,,4.6318,1,0,8,8,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,anyeli,2,001,male,2023-04-11_17h12.26.120,openIAT,2020.1.0rc3,Win32,60,a,1,1.8994,,,,,,,,1.8994,1,0,9,9,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,anyeli,2,001,male,2023-04-11_17h12.26.120,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,anyeli,2,001,male,2023-04-11_17h12.26.120,openIAT,2020.1.0rc3,Win32,60,a,1,2.366,,,,,,,,2.366,1,0,0,0,2,1,stimuli/black_2.jpg,,a,,,,,,,,
