instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.095137447,-0.402748441,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",asdasdas,1,001,male,2020-12-29_16h12.49.536,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.077519358,-0.407681493,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",asdasdas,1,001,male,2020-12-29_16h12.49.536,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,asdasdas,1,001,male,2020-12-29_16h12.49.536,openIAT,2020.1.0rc3,Win32,60,a,1,0.758705,,,,,,,,0.758705,1,0,0,0,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,asdasdas,1,001,male,2020-12-29_16h12.49.536,openIAT,2020.1.0rc3,Win32,60,a,1,0.49037,,,,,,,,0.49037,1,0,1,1,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,asdasdas,1,001,male,2020-12-29_16h12.49.536,openIAT,2020.1.0rc3,Win32,60,a,0,0.38659,,,,,,,,0.38659,0,0,2,2,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,asdasdas,1,001,male,2020-12-29_16h12.49.536,openIAT,2020.1.0rc3,Win32,60,l,0,0.58478,,,,,,,,0.58478,0,0,3,3,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,asdasdas,1,001,male,2020-12-29_16h12.49.536,openIAT,2020.1.0rc3,Win32,60,a,1,0.56328,,,,,,,,0.56328,1,0,4,4,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,asdasdas,1,001,male,2020-12-29_16h12.49.536,openIAT,2020.1.0rc3,Win32,60,a,1,0.526,,,,,,,,0.526,1,0,5,5,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,asdasdas,1,001,male,2020-12-29_16h12.49.536,openIAT,2020.1.0rc3,Win32,60,l,1,0.66718,,,,,,,,0.66718,1,0,6,6,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,asdasdas,1,001,male,2020-12-29_16h12.49.536,openIAT,2020.1.0rc3,Win32,60,l,1,0.637395,,,,,,,,0.637395,1,0,7,7,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,asdasdas,1,001,male,2020-12-29_16h12.49.536,openIAT,2020.1.0rc3,Win32,60,l,1,1.397475,,,,,,,,1.397475,1,0,8,8,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,asdasdas,1,001,male,2020-12-29_16h12.49.536,openIAT,2020.1.0rc3,Win32,60,l,1,0.43646,,,,,,,,0.43646,1,0,9,9,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,asdasdas,1,001,male,2020-12-29_16h12.49.536,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,asdasdas,1,001,male,2020-12-29_16h12.49.536,openIAT,2020.1.0rc3,Win32,60,a,1,3.286155,,,,,,,,3.286155,1,0,0,0,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,asdasdas,1,001,male,2020-12-29_16h12.49.536,openIAT,2020.1.0rc3,Win32,60,a,1,0.931565,,,,,,,,0.931565,1,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,asdasdas,1,001,male,2020-12-29_16h12.49.536,openIAT,2020.1.0rc3,Win32,60,l,1,0.656645,,,,,,,,0.656645,1,0,2,2,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,asdasdas,1,001,male,2020-12-29_16h12.49.536,openIAT,2020.1.0rc3,Win32,60,l,1,0.590765,,,,,,,,0.590765,1,0,3,3,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,asdasdas,1,001,male,2020-12-29_16h12.49.536,openIAT,2020.1.0rc3,Win32,60,l,1,0.650395,,,,,,,,0.650395,1,0,4,4,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,asdasdas,1,001,male,2020-12-29_16h12.49.536,openIAT,2020.1.0rc3,Win32,60,l,1,0.579375,,,,,,,,0.579375,1,0,5,5,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,asdasdas,1,001,male,2020-12-29_16h12.49.536,openIAT,2020.1.0rc3,Win32,60,l,0,0.49328,,,,,,,,0.49328,0,0,6,6,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
