instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.049493634,-0.412872541,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.175126591,-0.38036386,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6767,,,,,,,,0.6767,1,0,0,0,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7114,,,,,,,,0.7114,1,0,1,1,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6199,,,,,,,,0.6199,1,0,2,2,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5849,,,,,,,,0.5849,1,0,3,3,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5781,,,,,,,,0.5781,1,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6557,,,,,,,,0.6557,1,0,5,5,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6797,,,,,,,,0.6797,1,0,6,6,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5441,,,,,,,,0.5441,1,0,7,7,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.577,,,,,,,,0.577,1,0,8,8,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5437,,,,,,,,0.5437,1,0,9,9,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.2439,,,,,,,,1.2439,1,0,0,0,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,l,0,2.4246,,,,,,,,2.4246,0,0,1,1,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.8119,,,,,,,,0.8119,1,0,2,2,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.1503,,,,,,,,1.1503,1,0,3,3,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.9322,,,,,,,,0.9322,1,0,4,4,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.1098,,,,,,,,1.1098,1,0,5,5,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.9137,,,,,,,,0.9137,1,0,6,6,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.4518,,,,,,,,1.4518,1,0,7,7,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.8247,,,,,,,,0.8247,1,0,8,8,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.205,,,,,,,,1.205,1,0,9,9,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.159,,,,,,,,1.159,1,0,0,0,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.9567,,,,,,,,0.9567,1,0,1,1,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.0663,,,,,,,,1.0663,1,0,2,2,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6262,,,,,,,,0.6262,1,0,3,3,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.8988,,,,,,,,0.8988,0,0,4,4,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.9155,,,,,,,,0.9155,1,0,5,5,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.8938,,,,,,,,0.8938,1,0,6,6,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6588,,,,,,,,0.6588,1,0,7,7,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7762,,,,,,,,0.7762,1,0,8,8,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7417,,,,,,,,0.7417,1,0,9,9,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6083,,,,,,,,0.6083,1,0,10,10,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6579,,,,,,,,0.6579,1,0,11,11,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5459,,,,,,,,0.5459,1,0,12,12,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6464,,,,,,,,0.6464,1,0,13,13,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5957,,,,,,,,0.5957,1,0,14,14,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.0947,,,,,,,,1.0947,1,0,15,15,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7454,,,,,,,,0.7454,1,0,16,16,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6373,,,,,,,,0.6373,1,0,17,17,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,asdf,2,001,male,2023-10-09_13h35.01.331,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5745,,,,,,,,0.5745,1,0,18,18,6,1,stimuli/black_4.jpg,,a,,,,,,,,
