instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.051851936,-0.388888915,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",asdq,1,001,male,2021-04-08_14h10.16.425,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.024074158,-0.390740824,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",asdq,1,001,male,2021-04-08_14h10.16.425,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,asdq,1,001,male,2021-04-08_14h10.16.425,openIAT,2020.1.0rc3,Win32,60,,0,0.307407443,-0.311111135,1,0,0,2.161830001,button_right,2.161830001,1,0,0,0,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,asdq,1,001,male,2021-04-08_14h10.16.425,openIAT,2020.1.0rc3,Win32,60,,0,0.331481518,-0.302777802,1,0,0,1.352410001,button_right,1.352410001,1,0,1,1,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,asdq,1,001,male,2021-04-08_14h10.16.425,openIAT,2020.1.0rc3,Win32,60,,0,0.325925962,-0.302777802,1,0,0,0.415779999,button_right,0.415779999,0,0,2,2,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,asdq,1,001,male,2021-04-08_14h10.16.425,openIAT,2020.1.0rc3,Win32,60,,0,0.314814851,-0.298148172,1,0,0,0.544919999,button_right,0.544919999,1,0,3,3,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,asdq,1,001,male,2021-04-08_14h10.16.425,openIAT,2020.1.0rc3,Win32,60,,0,0.314814851,-0.298148172,1,0,0,0.06574,button_right,0.06574,1,0,4,4,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,asdq,1,001,male,2021-04-08_14h10.16.425,openIAT,2020.1.0rc3,Win32,60,,0,0.287037072,-0.28703706,1,0,0,0.595225,button_right,0.595225,1,0,5,5,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,asdq,1,001,male,2021-04-08_14h10.16.425,openIAT,2020.1.0rc3,Win32,60,,0,0.287037072,-0.28703706,1,0,0,0.348205,button_right,0.348205,0,0,6,6,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,asdq,1,001,male,2021-04-08_14h10.16.425,openIAT,2020.1.0rc3,Win32,60,,0,0.287037072,-0.28703706,1,0,0,0.36458,button_right,0.36458,0,0,7,7,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,asdq,1,001,male,2021-04-08_14h10.16.425,openIAT,2020.1.0rc3,Win32,60,,0,0.287037072,-0.28703706,1,0,0,0.38525,button_right,0.38525,0,0,8,8,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,asdq,1,001,male,2021-04-08_14h10.16.425,openIAT,2020.1.0rc3,Win32,60,,0,0.287037072,-0.28703706,1,0,0,0.376979999,button_right,0.376979999,0,0,9,9,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,asdq,1,001,male,2021-04-08_14h10.16.425,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,asdq,1,001,male,2021-04-08_14h10.16.425,openIAT,2020.1.0rc3,Win32,60,,0,0.287037072,-0.28703706,1,0,0,8.707125,button_right,8.707125,0,0,0,0,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,asdq,1,001,male,2021-04-08_14h10.16.425,openIAT,2020.1.0rc3,Win32,60,,0,0.327777814,-0.273148171,1,0,0,3.968635,button_right,3.968635,0,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,asdq,1,001,male,2021-04-08_14h10.16.425,openIAT,2020.1.0rc3,Win32,60,,0,0.327777814,-0.273148171,1,0,0,4.36968,button_right,4.36968,1,0,2,2,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,asdq,1,001,male,2021-04-08_14h10.16.425,openIAT,2020.1.0rc3,Win32,60,,0,0.327777814,-0.273148171,1,0,0,0.998865,button_right,0.998865,0,0,3,3,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
