instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.013880499,-0.398454863,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",atm ,2,001,male,2021-01-26_04h43.05.135,openIAT,2020.1.0rc3,Linux aarch64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.052698793,-0.42248522,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",atm ,2,001,male,2021-01-26_04h43.05.135,openIAT,2020.1.0rc3,Linux aarch64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,atm ,2,001,male,2021-01-26_04h43.05.135,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.381696578,-0.338378906,1,0,0,1.5905,button_left,1.5905,1,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,atm ,2,001,male,2021-01-26_04h43.05.135,openIAT,2020.1.0rc3,Linux aarch64,60,,0,0.330896706,-0.304181855,1,0,0,1.7188,button_right,1.7188,1,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,atm ,2,001,male,2021-01-26_04h43.05.135,openIAT,2020.1.0rc3,Linux aarch64,60,,0,0.345684643,-0.304181855,1,0,0,1.919,button_right,1.919,1,0,2,2,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,atm ,2,001,male,2021-01-26_04h43.05.135,openIAT,2020.1.0rc3,Linux aarch64,60,,0,0.337366433,-0.349469678,1,0,0,1.3101,button_right,1.3101,1,0,3,3,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,atm ,2,001,male,2021-01-26_04h43.05.135,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.232893056,-0.342999952,1,0,0,2.0844,button_left,2.0844,1,0,4,4,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,atm ,2,001,male,2021-01-26_04h43.05.135,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.361363197,-0.383666861,1,0,0,1.5914,button_left,1.5914,1,0,5,5,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,atm ,2,001,male,2021-01-26_04h43.05.135,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.413120927,-0.353166646,1,0,0,3.4937,button_left,3.4937,1,0,6,6,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,atm ,2,001,male,2021-01-26_04h43.05.135,openIAT,2020.1.0rc3,Linux aarch64,60,,0,0.32442698,-0.325439453,1,0,0,0.8357,button_right,0.8357,1,0,7,7,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,atm ,2,001,male,2021-01-26_04h43.05.135,openIAT,2020.1.0rc3,Linux aarch64,60,,0,0.305942075,-0.36333334,1,0,0,0.7864,button_right,0.7864,1,0,8,8,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,atm ,2,001,male,2021-01-26_04h43.05.135,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.398333007,-0.303257383,1,0,0,1.2294,button_left,1.2294,1,0,9,9,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,atm ,2,001,male,2021-01-26_04h43.05.135,openIAT,2020.1.0rc3,Linux aarch64,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,atm ,2,001,male,2021-01-26_04h43.05.135,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.336408549,-0.359636373,1,0,0,3.7402,button_left,3.7402,1,0,0,0,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,atm ,2,001,male,2021-01-26_04h43.05.135,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.330863098,-0.359636373,1,0,0,0.9669,button_left,0.9669,1,0,1,1,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,atm ,2,001,male,2021-01-26_04h43.05.135,openIAT,2020.1.0rc3,Linux aarch64,60,,0,0.293926897,-0.328212212,1,0,0,1.6901,button_right,1.6901,1,0,2,2,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,atm ,2,001,male,2021-01-26_04h43.05.135,openIAT,2020.1.0rc3,Linux aarch64,60,,0,0.265275232,-0.348545601,1,0,0,1.9043,button_right,1.9043,1,0,3,3,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,atm ,2,001,male,2021-01-26_04h43.05.135,openIAT,2020.1.0rc3,Linux aarch64,60,,0,0.24216915,-0.371651748,1,0,0,1.2798,button_right,1.2798,1,0,4,4,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,atm ,2,001,male,2021-01-26_04h43.05.135,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.263393155,-0.324515244,1,0,0,1.2282,button_left,1.2282,1,0,5,5,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,atm ,2,001,male,2021-01-26_04h43.05.135,openIAT,2020.1.0rc3,Linux aarch64,60,,0,0.264351023,-0.255196802,1,0,0,1.6558,button_right,1.6558,1,0,6,6,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,atm ,2,001,male,2021-01-26_04h43.05.135,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.29296903,-0.325439453,1,0,0,1.7553,button_left,1.7553,1,0,7,7,8,1,stimuli/black_5.jpg,,a,,,,,,,,
