instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.03937934,-0.383272569,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",bumblez,1,001,male,2024-03-30_20h19.21.162,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03937934,-0.383272569,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",bumblez,1,001,male,2024-03-30_20h19.21.162,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bumblez,1,001,male,2024-03-30_20h19.21.162,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.442,,,,,,,,1.442,1,0,0,0,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,bumblez,1,001,male,2024-03-30_20h19.21.162,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.134,,,,,,,,1.134,1,0,1,1,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,bumblez,1,001,male,2024-03-30_20h19.21.162,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.773,,,,,,,,0.773,1,0,2,2,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,bumblez,1,001,male,2024-03-30_20h19.21.162,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.112,,,,,,,,1.112,1,0,3,3,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,bumblez,1,001,male,2024-03-30_20h19.21.162,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.693,,,,,,,,0.693,1,0,4,4,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,bumblez,1,001,male,2024-03-30_20h19.21.162,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.776,,,,,,,,0.776,1,0,5,5,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,bumblez,1,001,male,2024-03-30_20h19.21.162,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.693,,,,,,,,0.693,1,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,bumblez,1,001,male,2024-03-30_20h19.21.162,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.034,,,,,,,,1.034,1,0,7,7,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,bumblez,1,001,male,2024-03-30_20h19.21.162,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.73,,,,,,,,0.73,1,0,8,8,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,bumblez,1,001,male,2024-03-30_20h19.21.162,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.747,,,,,,,,0.747,1,0,9,9,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
