instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.142592623,-0.374074157,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",carlosr,2,001,male,2022-05-11_07h57.01.268,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.142592623,-0.374074157,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",carlosr,2,001,male,2022-05-11_07h57.01.268,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,carlosr,2,001,male,2022-05-11_07h57.01.268,openIAT,2020.1.0rc3,Win32,60,a,1,1.7441,,,,,,,,1.7441,1,0,0,0,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,carlosr,2,001,male,2022-05-11_07h57.01.268,openIAT,2020.1.0rc3,Win32,60,l,1,1.0763,,,,,,,,1.0763,1,0,1,1,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,carlosr,2,001,male,2022-05-11_07h57.01.268,openIAT,2020.1.0rc3,Win32,60,l,1,1.1644,,,,,,,,1.1644,1,0,2,2,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,carlosr,2,001,male,2022-05-11_07h57.01.268,openIAT,2020.1.0rc3,Win32,60,l,1,1.0304,,,,,,,,1.0304,1,0,3,3,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,carlosr,2,001,male,2022-05-11_07h57.01.268,openIAT,2020.1.0rc3,Win32,60,a,1,0.7466,,,,,,,,0.7466,1,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,carlosr,2,001,male,2022-05-11_07h57.01.268,openIAT,2020.1.0rc3,Win32,60,a,1,0.7162,,,,,,,,0.7162,1,0,5,5,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,carlosr,2,001,male,2022-05-11_07h57.01.268,openIAT,2020.1.0rc3,Win32,60,l,1,0.7258,,,,,,,,0.7258,1,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,carlosr,2,001,male,2022-05-11_07h57.01.268,openIAT,2020.1.0rc3,Win32,60,a,1,0.6158,,,,,,,,0.6158,1,0,7,7,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,carlosr,2,001,male,2022-05-11_07h57.01.268,openIAT,2020.1.0rc3,Win32,60,a,1,0.5107,,,,,,,,0.5107,1,0,8,8,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,carlosr,2,001,male,2022-05-11_07h57.01.268,openIAT,2020.1.0rc3,Win32,60,a,0,0.5638,,,,,,,,0.5638,0,0,9,9,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,carlosr,2,001,male,2022-05-11_07h57.01.268,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,carlosr,2,001,male,2022-05-11_07h57.01.268,openIAT,2020.1.0rc3,Win32,60,l,0,1.2608,,,,,,,,1.2608,0,0,0,0,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,carlosr,2,001,male,2022-05-11_07h57.01.268,openIAT,2020.1.0rc3,Win32,60,l,1,0.887,,,,,,,,0.887,1,0,1,1,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,carlosr,2,001,male,2022-05-11_07h57.01.268,openIAT,2020.1.0rc3,Win32,60,a,0,0.7265,,,,,,,,0.7265,0,0,2,2,5,1,stimuli/white_3.jpg,,l,,,,,,,,
