instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.030555556,-0.412037037,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",cat,2,001,male,2024-08-21_14h19.25.443,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.074074074,-0.405555556,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",cat,2,001,male,2024-08-21_14h19.25.443,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,cat,2,001,male,2024-08-21_14h19.25.443,openIAT,2020.1.0rc3,Win32,60,a,1,0.9861,,,,,,,,0.9861,1,0,0,0,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,cat,2,001,male,2024-08-21_14h19.25.443,openIAT,2020.1.0rc3,Win32,60,l,1,1.1968,,,,,,,,1.1968,1,0,1,1,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,cat,2,001,male,2024-08-21_14h19.25.443,openIAT,2020.1.0rc3,Win32,60,a,1,0.6372,,,,,,,,0.6372,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,cat,2,001,male,2024-08-21_14h19.25.443,openIAT,2020.1.0rc3,Win32,60,a,1,0.6,,,,,,,,0.6,1,0,3,3,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,cat,2,001,male,2024-08-21_14h19.25.443,openIAT,2020.1.0rc3,Win32,60,a,0,0.5186,,,,,,,,0.5186,0,0,4,4,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,cat,2,001,male,2024-08-21_14h19.25.443,openIAT,2020.1.0rc3,Win32,60,l,1,0.9977,,,,,,,,0.9977,1,0,5,5,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,cat,2,001,male,2024-08-21_14h19.25.443,openIAT,2020.1.0rc3,Win32,60,l,0,0.7047,,,,,,,,0.7047,0,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,cat,2,001,male,2024-08-21_14h19.25.443,openIAT,2020.1.0rc3,Win32,60,l,1,1.8343,,,,,,,,1.8343,1,0,7,7,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,cat,2,001,male,2024-08-21_14h19.25.443,openIAT,2020.1.0rc3,Win32,60,a,1,1.1674,,,,,,,,1.1674,1,0,8,8,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,cat,2,001,male,2024-08-21_14h19.25.443,openIAT,2020.1.0rc3,Win32,60,l,1,0.7643,,,,,,,,0.7643,1,0,9,9,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,cat,2,001,male,2024-08-21_14h19.25.443,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,cat,2,001,male,2024-08-21_14h19.25.443,openIAT,2020.1.0rc3,Win32,60,a,1,1.6468,,,,,,,,1.6468,1,0,0,0,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,cat,2,001,male,2024-08-21_14h19.25.443,openIAT,2020.1.0rc3,Win32,60,a,1,2.1164,,,,,,,,2.1164,1,0,1,1,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,cat,2,001,male,2024-08-21_14h19.25.443,openIAT,2020.1.0rc3,Win32,60,l,1,1.549,,,,,,,,1.549,1,0,2,2,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,cat,2,001,male,2024-08-21_14h19.25.443,openIAT,2020.1.0rc3,Win32,60,l,0,1.6169,,,,,,,,1.6169,0,0,3,3,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,cat,2,001,male,2024-08-21_14h19.25.443,openIAT,2020.1.0rc3,Win32,60,a,1,1.5143,,,,,,,,1.5143,1,0,4,4,2,1,stimuli/black_2.jpg,,a,,,,,,,,
