instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.265781793,-0.298316718,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.066324802,-0.401261936,1,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,instr_done_button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,3.2407,,,,,,,,3.2407,1,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,1.7927,,,,,,,,1.7927,1,0,1,1,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,1.5266,,,,,,,,1.5266,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,0,5.1017,,,,,,,,5.1017,0,0,3,3,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,1.9089,,,,,,,,1.9089,1,0,4,4,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,1.742,,,,,,,,1.742,1,0,5,5,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,1.4564,,,,,,,,1.4564,1,0,6,6,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,1.7887,,,,,,,,1.7887,1,0,7,7,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,0.8412,,,,,,,,0.8412,1,0,8,8,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,1.0939,,,,,,,,1.0939,1,0,9,9,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,2.694,,,,,,,,2.694,1,0,0,0,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,4.2734,,,,,,,,4.2734,1,0,1,1,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,1.5416,,,,,,,,1.5416,1,0,2,2,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,1.307,,,,,,,,1.307,1,0,3,3,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,1.0993,,,,,,,,1.0993,1,0,4,4,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,1.743,,,,,,,,1.743,1,0,5,5,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,1.2547,,,,,,,,1.2547,1,0,6,6,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,3.2983,,,,,,,,3.2983,1,0,7,7,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,0.9944,,,,,,,,0.9944,1,0,8,8,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,0.9899,,,,,,,,0.9899,1,0,9,9,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,8.8542,,,,,,,,8.8542,1,0,0,0,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,1.9905,,,,,,,,1.9905,1,0,1,1,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,2.4603,,,,,,,,2.4603,1,0,2,2,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,1.6409,,,,,,,,1.6409,1,0,3,3,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,3.7616,,,,,,,,3.7616,1,0,4,4,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,1.9539,,,,,,,,1.9539,1,0,5,5,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,1.3054,,,,,,,,1.3054,1,0,6,6,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,0.8398,,,,,,,,0.8398,1,0,7,7,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,1.2596,,,,,,,,1.2596,1,0,8,8,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,1.2625,,,,,,,,1.2625,1,0,9,9,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,0.7273,,,,,,,,0.7273,1,0,10,10,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,0.9957,,,,,,,,0.9957,1,0,11,11,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,2.9101,,,,,,,,2.9101,1,0,12,12,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,2.903,,,,,,,,2.903,1,0,13,13,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,0.7077,,,,,,,,0.7077,1,0,14,14,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,0,1.8108,,,,,,,,1.8108,0,0,15,15,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,1.5282,,,,,,,,1.5282,1,0,16,16,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,1.3623,,,,,,,,1.3623,1,0,17,17,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,0.9279,,,,,,,,0.9279,1,0,18,18,16,1,stimuli/blank.png,Love,a,,,,,,,,
