instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.019444444,-0.406481481,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",das,2,001,male,2023-05-02_15h43.40.558,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.019444444,-0.40462963,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",das,2,001,male,2023-05-02_15h43.40.558,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,das,2,001,male,2023-05-02_15h43.40.558,openIAT,2020.1.0rc3,Win32,60,a,0,1.4345,,,,,,,,1.4345,0,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,das,2,001,male,2023-05-02_15h43.40.558,openIAT,2020.1.0rc3,Win32,60,l,1,2.584,,,,,,,,2.584,1,0,1,1,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,das,2,001,male,2023-05-02_15h43.40.558,openIAT,2020.1.0rc3,Win32,60,l,1,0.849,,,,,,,,0.849,1,0,2,2,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,das,2,001,male,2023-05-02_15h43.40.558,openIAT,2020.1.0rc3,Win32,60,l,0,0.9325,,,,,,,,0.9325,0,0,3,3,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,das,2,001,male,2023-05-02_15h43.40.558,openIAT,2020.1.0rc3,Win32,60,l,1,1.5666,,,,,,,,1.5666,1,0,4,4,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,das,2,001,male,2023-05-02_15h43.40.558,openIAT,2020.1.0rc3,Win32,60,a,1,0.6333,,,,,,,,0.6333,1,0,5,5,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,das,2,001,male,2023-05-02_15h43.40.558,openIAT,2020.1.0rc3,Win32,60,a,1,0.6507,,,,,,,,0.6507,1,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,das,2,001,male,2023-05-02_15h43.40.558,openIAT,2020.1.0rc3,Win32,60,a,1,0.766,,,,,,,,0.766,1,0,7,7,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,das,2,001,male,2023-05-02_15h43.40.558,openIAT,2020.1.0rc3,Win32,60,l,1,0.9171,,,,,,,,0.9171,1,0,8,8,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,das,2,001,male,2023-05-02_15h43.40.558,openIAT,2020.1.0rc3,Win32,60,a,1,1.0172,,,,,,,,1.0172,1,0,9,9,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,das,2,001,male,2023-05-02_15h43.40.558,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,das,2,001,male,2023-05-02_15h43.40.558,openIAT,2020.1.0rc3,Win32,60,a,0,1.7006,,,,,,,,1.7006,0,0,0,0,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,das,2,001,male,2023-05-02_15h43.40.558,openIAT,2020.1.0rc3,Win32,60,a,1,1.0502,,,,,,,,1.0502,1,0,1,1,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,das,2,001,male,2023-05-02_15h43.40.558,openIAT,2020.1.0rc3,Win32,60,a,1,0.7009,,,,,,,,0.7009,1,0,2,2,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,das,2,001,male,2023-05-02_15h43.40.558,openIAT,2020.1.0rc3,Win32,60,a,1,0.5506,,,,,,,,0.5506,1,0,3,3,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,das,2,001,male,2023-05-02_15h43.40.558,openIAT,2020.1.0rc3,Win32,60,a,0,0.4315,,,,,,,,0.4315,0,0,4,4,5,1,stimuli/white_3.jpg,,l,,,,,,,,
