instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.061111097,-0.387037065,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",daw,2,001,male,2022-11-26_22h21.50.318,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.087037051,-0.362963005,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",daw,2,001,male,2022-11-26_22h21.50.318,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,daw,2,001,male,2022-11-26_22h21.50.318,openIAT,2020.1.0rc3,Win32,60,a,1,1.492,,,,,,,,1.492,1,0,0,0,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,daw,2,001,male,2022-11-26_22h21.50.318,openIAT,2020.1.0rc3,Win32,60,a,1,1.1384,,,,,,,,1.1384,1,0,1,1,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,daw,2,001,male,2022-11-26_22h21.50.318,openIAT,2020.1.0rc3,Win32,60,l,1,1.2335,,,,,,,,1.2335,1,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,daw,2,001,male,2022-11-26_22h21.50.318,openIAT,2020.1.0rc3,Win32,60,l,1,0.3012,,,,,,,,0.3012,1,0,3,3,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,daw,2,001,male,2022-11-26_22h21.50.318,openIAT,2020.1.0rc3,Win32,60,l,0,0.3505,,,,,,,,0.3505,0,0,4,4,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,daw,2,001,male,2022-11-26_22h21.50.318,openIAT,2020.1.0rc3,Win32,60,l,0,0.7007,,,,,,,,0.7007,0,0,5,5,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,daw,2,001,male,2022-11-26_22h21.50.318,openIAT,2020.1.0rc3,Win32,60,l,1,0.4843,,,,,,,,0.4843,1,0,6,6,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,daw,2,001,male,2022-11-26_22h21.50.318,openIAT,2020.1.0rc3,Win32,60,l,1,0.3366,,,,,,,,0.3366,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,daw,2,001,male,2022-11-26_22h21.50.318,openIAT,2020.1.0rc3,Win32,60,l,1,0.2668,,,,,,,,0.2668,1,0,8,8,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,daw,2,001,male,2022-11-26_22h21.50.318,openIAT,2020.1.0rc3,Win32,60,l,0,0.2244,,,,,,,,0.2244,0,0,9,9,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,daw,2,001,male,2022-11-26_22h21.50.318,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,daw,2,001,male,2022-11-26_22h21.50.318,openIAT,2020.1.0rc3,Win32,60,l,1,1.8829,,,,,,,,1.8829,1,0,0,0,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,daw,2,001,male,2022-11-26_22h21.50.318,openIAT,2020.1.0rc3,Win32,60,a,1,3.6534,,,,,,,,3.6534,1,0,1,1,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,daw,2,001,male,2022-11-26_22h21.50.318,openIAT,2020.1.0rc3,Win32,60,a,1,0.8347,,,,,,,,0.8347,1,0,2,2,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,daw,2,001,male,2022-11-26_22h21.50.318,openIAT,2020.1.0rc3,Win32,60,l,1,0.917,,,,,,,,0.917,1,0,3,3,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,daw,2,001,male,2022-11-26_22h21.50.318,openIAT,2020.1.0rc3,Win32,60,a,1,0.6507,,,,,,,,0.6507,1,0,4,4,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,daw,2,001,male,2022-11-26_22h21.50.318,openIAT,2020.1.0rc3,Win32,60,l,1,0.6011,,,,,,,,0.6011,1,0,5,5,7,1,stimuli/white_4.jpg,,l,,,,,,,,
