instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.106481511,-0.363888915,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",derly,1,001,male,2022-02-12_13h18.30.794,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.106481511,-0.363888915,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",derly,1,001,male,2022-02-12_13h18.30.794,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,derly,1,001,male,2022-02-12_13h18.30.794,openIAT,2020.1.0rc3,Win32,60,a,0,6.1383,,,,,,,,6.1383,0,0,0,0,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,derly,1,001,male,2022-02-12_13h18.30.794,openIAT,2020.1.0rc3,Win32,60,l,1,1.9417,,,,,,,,1.9417,1,0,1,1,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,derly,1,001,male,2022-02-12_13h18.30.794,openIAT,2020.1.0rc3,Win32,60,a,1,2.1749,,,,,,,,2.1749,1,0,2,2,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,derly,1,001,male,2022-02-12_13h18.30.794,openIAT,2020.1.0rc3,Win32,60,a,1,2.2957,,,,,,,,2.2957,1,0,3,3,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,derly,1,001,male,2022-02-12_13h18.30.794,openIAT,2020.1.0rc3,Win32,60,a,1,0.9192,,,,,,,,0.9192,1,0,4,4,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,derly,1,001,male,2022-02-12_13h18.30.794,openIAT,2020.1.0rc3,Win32,60,a,1,0.7952,,,,,,,,0.7952,1,0,5,5,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,derly,1,001,male,2022-02-12_13h18.30.794,openIAT,2020.1.0rc3,Win32,60,l,1,0.7156,,,,,,,,0.7156,1,0,6,6,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,derly,1,001,male,2022-02-12_13h18.30.794,openIAT,2020.1.0rc3,Win32,60,a,1,0.8667,,,,,,,,0.8667,1,0,7,7,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,derly,1,001,male,2022-02-12_13h18.30.794,openIAT,2020.1.0rc3,Win32,60,l,1,1.1749,,,,,,,,1.1749,1,0,8,8,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,derly,1,001,male,2022-02-12_13h18.30.794,openIAT,2020.1.0rc3,Win32,60,l,1,1.3202,,,,,,,,1.3202,1,0,9,9,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,derly,1,001,male,2022-02-12_13h18.30.794,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,derly,1,001,male,2022-02-12_13h18.30.794,openIAT,2020.1.0rc3,Win32,60,l,0,2.0588,,,,,,,,2.0588,0,0,0,0,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,derly,1,001,male,2022-02-12_13h18.30.794,openIAT,2020.1.0rc3,Win32,60,a,1,5.1946,,,,,,,,5.1946,1,0,1,1,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,derly,1,001,male,2022-02-12_13h18.30.794,openIAT,2020.1.0rc3,Win32,60,a,0,1.8767,,,,,,,,1.8767,0,0,2,2,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,derly,1,001,male,2022-02-12_13h18.30.794,openIAT,2020.1.0rc3,Win32,60,a,1,3.1767,,,,,,,,3.1767,1,0,3,3,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,derly,1,001,male,2022-02-12_13h18.30.794,openIAT,2020.1.0rc3,Win32,60,l,1,2.36,,,,,,,,2.36,1,0,4,4,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,derly,1,001,male,2022-02-12_13h18.30.794,openIAT,2020.1.0rc3,Win32,60,a,1,1.7997,,,,,,,,1.7997,1,0,5,5,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,derly,1,001,male,2022-02-12_13h18.30.794,openIAT,2020.1.0rc3,Win32,60,a,0,2.1421,,,,,,,,2.1421,0,0,6,6,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,derly,1,001,male,2022-02-12_13h18.30.794,openIAT,2020.1.0rc3,Win32,60,a,0,2.8643,,,,,,,,2.8643,0,0,7,7,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,derly,1,001,male,2022-02-12_13h18.30.794,openIAT,2020.1.0rc3,Win32,60,l,1,2.4956,,,,,,,,2.4956,1,0,8,8,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,derly,1,001,male,2022-02-12_13h18.30.794,openIAT,2020.1.0rc3,Win32,60,l,0,1.7999,,,,,,,,1.7999,0,0,9,9,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
