instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.069168837,-0.424741889,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",dwwd,1,001,male,2024-07-26_14h33.38.817,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.068483548,-0.424741889,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",dwwd,1,001,male,2024-07-26_14h33.38.817,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,dwwd,1,001,male,2024-07-26_14h33.38.817,openIAT,2020.1.0rc3,MacIntel,60,a,0,1.7363,,,,,,,,1.7363,0,0,0,0,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,dwwd,1,001,male,2024-07-26_14h33.38.817,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.9938,,,,,,,,0.9938,1,0,1,1,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,dwwd,1,001,male,2024-07-26_14h33.38.817,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7275,,,,,,,,0.7275,1,0,2,2,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,dwwd,1,001,male,2024-07-26_14h33.38.817,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6918,,,,,,,,0.6918,1,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,dwwd,1,001,male,2024-07-26_14h33.38.817,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.8223,,,,,,,,0.8223,1,0,4,4,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,dwwd,1,001,male,2024-07-26_14h33.38.817,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.6549,,,,,,,,0.6549,0,0,5,5,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,dwwd,1,001,male,2024-07-26_14h33.38.817,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7874,,,,,,,,0.7874,1,0,6,6,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,dwwd,1,001,male,2024-07-26_14h33.38.817,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.1314,,,,,,,,1.1314,1,0,7,7,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,dwwd,1,001,male,2024-07-26_14h33.38.817,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.2292,,,,,,,,1.2292,1,0,8,8,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,dwwd,1,001,male,2024-07-26_14h33.38.817,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7044,,,,,,,,0.7044,1,0,9,9,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,dwwd,1,001,male,2024-07-26_14h33.38.817,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,dwwd,1,001,male,2024-07-26_14h33.38.817,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.1874,,,,,,,,1.1874,1,0,0,0,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,dwwd,1,001,male,2024-07-26_14h33.38.817,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.9627,,,,,,,,0.9627,1,0,1,1,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
