instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.030068359,-0.401987305,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",emma,2,001,female,2020-09-13_22h55.59.794,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.030068359,-0.401987305,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",emma,2,001,female,2020-09-13_22h55.59.794,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,emma,2,001,female,2020-09-13_22h55.59.794,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.39268,,,,,,,,0.39268,1,0,0,0,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,emma,2,001,female,2020-09-13_22h55.59.794,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.55055,,,,,,,,0.55055,1,0,1,1,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,emma,2,001,female,2020-09-13_22h55.59.794,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.603195,,,,,,,,0.603195,1,0,2,2,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,emma,2,001,female,2020-09-13_22h55.59.794,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.64749,,,,,,,,0.64749,1,0,3,3,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,emma,2,001,female,2020-09-13_22h55.59.794,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5547,,,,,,,,0.5547,1,0,4,4,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,emma,2,001,female,2020-09-13_22h55.59.794,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.39626,,,,,,,,0.39626,1,0,5,5,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,emma,2,001,female,2020-09-13_22h55.59.794,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5644,,,,,,,,0.5644,1,0,6,6,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,emma,2,001,female,2020-09-13_22h55.59.794,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.55093,,,,,,,,0.55093,1,0,7,7,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,emma,2,001,female,2020-09-13_22h55.59.794,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.597285,,,,,,,,0.597285,1,0,8,8,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,emma,2,001,female,2020-09-13_22h55.59.794,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5807,,,,,,,,0.5807,1,0,9,9,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,emma,2,001,female,2020-09-13_22h55.59.794,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,emma,2,001,female,2020-09-13_22h55.59.794,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.88018,,,,,,,,0.88018,1,0,0,0,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,emma,2,001,female,2020-09-13_22h55.59.794,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.79907,,,,,,,,0.79907,0,0,1,1,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,emma,2,001,female,2020-09-13_22h55.59.794,openIAT,2020.1.0rc3,MacIntel,60,a,1,2.12943,,,,,,,,2.12943,1,0,2,2,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,emma,2,001,female,2020-09-13_22h55.59.794,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.604,,,,,,,,1.604,1,0,3,3,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,emma,2,001,female,2020-09-13_22h55.59.794,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.76493,,,,,,,,0.76493,1,0,4,4,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,emma,2,001,female,2020-09-13_22h55.59.794,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.74804,,,,,,,,0.74804,1,0,5,5,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,emma,2,001,female,2020-09-13_22h55.59.794,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.8481,,,,,,,,0.8481,0,0,6,6,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,emma,2,001,female,2020-09-13_22h55.59.794,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.79846,,,,,,,,0.79846,1,0,7,7,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,emma,2,001,female,2020-09-13_22h55.59.794,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.671795,,,,,,,,0.671795,1,0,8,8,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,emma,2,001,female,2020-09-13_22h55.59.794,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.70434,,,,,,,,0.70434,1,0,9,9,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,emma,2,001,female,2020-09-13_22h55.59.794,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
