instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.037037037,-0.396296296,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",erer,2,001,male,2022-07-06_15h47.37.637,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.058333333,-0.388888889,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",erer,2,001,male,2022-07-06_15h47.37.637,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,erer,2,001,male,2022-07-06_15h47.37.637,openIAT,2020.1.0rc3,Win32,60,,0,0.566666667,-0.343518519,1,0,0,1.7316,button_right,1.7316,1,0,0,0,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,erer,2,001,male,2022-07-06_15h47.37.637,openIAT,2020.1.0rc3,Win32,60,,0,0.072222222,-0.240740741,1,0,0,0.1496,button_right,0.1496,1,0,1,1,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,erer,2,001,male,2022-07-06_15h47.37.637,openIAT,2020.1.0rc3,Win32,60,,0,0.412962963,-0.315740741,1,0,0,1.1495,button_right,1.1495,1,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,erer,2,001,male,2022-07-06_15h47.37.637,openIAT,2020.1.0rc3,Win32,60,,0,-0.539814815,-0.276851852,1,0,0,1.7663,button_left,1.7663,1,0,3,3,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,erer,2,001,male,2022-07-06_15h47.37.637,openIAT,2020.1.0rc3,Win32,60,,0,0.306481481,-0.265740741,1,0,0,1.283,button_right,1.283,1,0,4,4,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,erer,2,001,male,2022-07-06_15h47.37.637,openIAT,2020.1.0rc3,Win32,60,,0,-0.368518519,-0.255555556,1,0,0,1.1995,button_left,1.1995,1,0,5,5,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,erer,2,001,male,2022-07-06_15h47.37.637,openIAT,2020.1.0rc3,Win32,60,,0,-0.322222222,-0.283333333,1,0,0,0.9662,button_left,0.9662,1,0,6,6,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,erer,2,001,male,2022-07-06_15h47.37.637,openIAT,2020.1.0rc3,Win32,60,,0,-0.312037037,-0.280555556,1,0,0,1.0161,button_left,1.0161,1,0,7,7,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,erer,2,001,male,2022-07-06_15h47.37.637,openIAT,2020.1.0rc3,Win32,60,,0,0.063888889,-0.277777778,1,0,0,0.7986,button_right,0.7986,1,0,8,8,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,erer,2,001,male,2022-07-06_15h47.37.637,openIAT,2020.1.0rc3,Win32,60,,0,-0.266666667,-0.267592593,1,0,0,0.8164,button_left,0.8164,1,0,9,9,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,erer,2,001,male,2022-07-06_15h47.37.637,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
