instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.085555556,-0.4,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",eri,2,001,female,2022-02-23_12h03.26.950,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.065555556,-0.384444444,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",eri,2,001,female,2022-02-23_12h03.26.950,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,eri,2,001,female,2022-02-23_12h03.26.950,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.855,,,,,,,,0.855,1,0,0,0,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,eri,2,001,female,2022-02-23_12h03.26.950,openIAT,2020.1.0rc3,MacIntel,60,a,1,2.287,,,,,,,,2.287,1,0,1,1,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,eri,2,001,female,2022-02-23_12h03.26.950,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.025,,,,,,,,1.025,1,0,2,2,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,eri,2,001,female,2022-02-23_12h03.26.950,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.722,,,,,,,,0.722,1,0,3,3,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,eri,2,001,female,2022-02-23_12h03.26.950,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.775,,,,,,,,0.775,1,0,4,4,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,eri,2,001,female,2022-02-23_12h03.26.950,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.61,,,,,,,,0.61,1,0,5,5,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,eri,2,001,female,2022-02-23_12h03.26.950,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.559,,,,,,,,0.559,1,0,6,6,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,eri,2,001,female,2022-02-23_12h03.26.950,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.172,,,,,,,,1.172,1,0,7,7,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,eri,2,001,female,2022-02-23_12h03.26.950,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.695,,,,,,,,0.695,0,0,8,8,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,eri,2,001,female,2022-02-23_12h03.26.950,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.324,,,,,,,,0.324,1,0,9,9,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,eri,2,001,female,2022-02-23_12h03.26.950,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,eri,2,001,female,2022-02-23_12h03.26.950,openIAT,2020.1.0rc3,MacIntel,60,a,0,1.723,,,,,,,,1.723,0,0,0,0,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,eri,2,001,female,2022-02-23_12h03.26.950,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.724,,,,,,,,0.724,1,0,1,1,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,eri,2,001,female,2022-02-23_12h03.26.950,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.694,,,,,,,,0.694,0,0,2,2,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,eri,2,001,female,2022-02-23_12h03.26.950,openIAT,2020.1.0rc3,MacIntel,60,l,0,1.578,,,,,,,,1.578,0,0,3,3,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,eri,2,001,female,2022-02-23_12h03.26.950,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.208,,,,,,,,1.208,1,0,4,4,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,eri,2,001,female,2022-02-23_12h03.26.950,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.663,,,,,,,,0.663,1,0,5,5,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,eri,2,001,female,2022-02-23_12h03.26.950,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.789,,,,,,,,0.789,1,0,6,6,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,eri,2,001,female,2022-02-23_12h03.26.950,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.392,,,,,,,,1.392,1,0,7,7,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,eri,2,001,female,2022-02-23_12h03.26.950,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.03,,,,,,,,1.03,1,0,8,8,1,1,stimuli/white_1.jpg,,l,,,,,,,,
