instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,key_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.042222222,-0.397777778,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",es,1,001,male,2021-08-23_12h33.51.914,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.042222222,-0.396666667,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",es,1,001,male,2021-08-23_12h33.51.914,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,es,1,001,male,2021-08-23_12h33.51.914,openIAT,2020.1.0rc3,Win32,60,,0,0.257595773,-0.312417437,1,0,0,26.9174,button_right,26.9174,1,0,0,0,1,1,stimuli/blank.png,Bad,l,,,,,,,,,
,,,,,,,,,,,,,es,1,001,male,2021-08-23_12h33.51.914,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,166.7748,1,0,1,1,6,1,stimuli/blank.png,Love,a,166.7748,,,,,,,,
,,,,,,,,,,,,,es,1,001,male,2021-08-23_12h33.51.914,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,59.1398,1,0,2,2,5,1,stimuli/blank.png,Agony,l,59.1398,,,,,,,,
,,,,,,,,,,,,,es,1,001,male,2021-08-23_12h33.51.914,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,223.1124,1,0,3,3,2,1,stimuli/blank.png,Happy,a,223.1124,,,,,,,,
,,,,,,,,,,,,,es,1,001,male,2021-08-23_12h33.51.914,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,8.3937,1,0,4,4,4,1,stimuli/blank.png,Pleasure,a,8.3937,,,,,,,,
,,,,,,,,,,,,,es,1,001,male,2021-08-23_12h33.51.914,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,1.3577,1,0,5,5,0,1,stimuli/blank.png,Good,a,1.3577,,,,,,,,
,,,,,,,,,,,,,es,1,001,male,2021-08-23_12h33.51.914,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,1.6354,1,0,6,6,3,1,stimuli/blank.png,Hurt,l,1.6354,,,,,,,,
,,,,,,,,,,,,,es,1,001,male,2021-08-23_12h33.51.914,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,1.7657,1,0,7,7,7,1,stimuli/blank.png,Evil,l,1.7657,,,,,,,,
