instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.075520833,-0.389322917,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.079427083,-0.415364583,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,a,1,4.9012,,,,,,,,4.9012,1,0,0,0,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,a,1,1.1925,,,,,,,,1.1925,1,0,1,1,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,l,1,1.087,,,,,,,,1.087,1,0,2,2,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,l,1,0.9229,,,,,,,,0.9229,1,0,3,3,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,l,1,1.045,,,,,,,,1.045,1,0,4,4,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,l,1,0.9994,,,,,,,,0.9994,1,0,5,5,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,a,0,0.6549,,,,,,,,0.6549,0,0,6,6,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,a,1,1.2208,,,,,,,,1.2208,1,0,7,7,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,a,1,1.0415,,,,,,,,1.0415,1,0,8,8,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,a,1,0.7705,,,,,,,,0.7705,1,0,9,9,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,l,0,1.56,,,,,,,,1.56,0,0,0,0,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,a,1,1.8387,,,,,,,,1.8387,1,0,1,1,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,a,1,0.8286,,,,,,,,0.8286,1,0,2,2,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,a,0,0.6129,,,,,,,,0.6129,0,0,3,3,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,a,1,1.6906,,,,,,,,1.6906,1,0,4,4,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,a,1,1.1079,,,,,,,,1.1079,1,0,5,5,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,a,0,1.1962,,,,,,,,1.1962,0,0,6,6,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,l,1,2.0047,,,,,,,,2.0047,1,0,7,7,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,l,1,1.065,,,,,,,,1.065,1,0,8,8,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,l,1,0.8905,,,,,,,,0.8905,1,0,9,9,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,a,1,0.8929,,,,,,,,0.8929,1,0,0,0,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,l,1,1.2437,,,,,,,,1.2437,1,0,1,1,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,a,1,1.0573,,,,,,,,1.0573,1,0,2,2,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,fahimeh,1,001,female,2022-06-14_20h14.53.324,openIAT,2020.1.0rc3,Win32,60,l,1,1.0769,,,,,,,,1.0769,1,0,3,3,17,1,stimuli/blank.png,Evil,l,,,,,,,,
