instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.0925,-0.355833333,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",fasfgdfg,1,001,male,2022-01-10_11h26.29.275,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0625,-0.399166667,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",fasfgdfg,1,001,male,2022-01-10_11h26.29.275,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,fasfgdfg,1,001,male,2022-01-10_11h26.29.275,openIAT,2020.1.0rc3,Win32,60,a,0,2.3212,,,,,,,,2.3212,0,0,0,0,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,fasfgdfg,1,001,male,2022-01-10_11h26.29.275,openIAT,2020.1.0rc3,Win32,60,l,0,0.2172,,,,,,,,0.2172,0,0,1,1,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,fasfgdfg,1,001,male,2022-01-10_11h26.29.275,openIAT,2020.1.0rc3,Win32,60,l,1,1.5949,,,,,,,,1.5949,1,0,2,2,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,fasfgdfg,1,001,male,2022-01-10_11h26.29.275,openIAT,2020.1.0rc3,Win32,60,,0,,-0.408333333,-0.283333333,1,0,0,0.9153,button_left,0.9153,1,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,fasfgdfg,1,001,male,2022-01-10_11h26.29.275,openIAT,2020.1.0rc3,Win32,60,,0,,0.313333333,-0.2675,1,0,0,1.1659,button_right,1.1659,1,0,4,4,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,fasfgdfg,1,001,male,2022-01-10_11h26.29.275,openIAT,2020.1.0rc3,Win32,60,,0,,-0.231666667,-0.2775,1,0,0,1.3164,button_left,1.3164,1,0,5,5,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,fasfgdfg,1,001,male,2022-01-10_11h26.29.275,openIAT,2020.1.0rc3,Win32,60,,0,,-0.234166667,-0.278333333,1,0,0,0.882,button_left,0.882,1,0,6,6,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,fasfgdfg,1,001,male,2022-01-10_11h26.29.275,openIAT,2020.1.0rc3,Win32,60,l,0,8.6765,,,,,,,,8.6765,0,0,7,7,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,fasfgdfg,1,001,male,2022-01-10_11h26.29.275,openIAT,2020.1.0rc3,Win32,60,l,1,0.7949,,,,,,,,0.7949,1,0,8,8,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,fasfgdfg,1,001,male,2022-01-10_11h26.29.275,openIAT,2020.1.0rc3,Win32,60,a,0,1.6174,,,,,,,,1.6174,0,0,9,9,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,fasfgdfg,1,001,male,2022-01-10_11h26.29.275,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
