instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.040416667,-0.366427951,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",ff,2,001,female,2024-04-30_13h02.10.612,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.040416667,-0.366427951,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",ff,2,001,female,2024-04-30_13h02.10.612,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ff,2,001,female,2024-04-30_13h02.10.612,openIAT,2020.1.0rc3,MacIntel,60,a,0,2.8278,,,,,,,,2.8278,0,0,0,0,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,ff,2,001,female,2024-04-30_13h02.10.612,openIAT,2020.1.0rc3,MacIntel,60,a,0,1.1334,,,,,,,,1.1334,0,0,1,1,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,ff,2,001,female,2024-04-30_13h02.10.612,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7754,,,,,,,,0.7754,1,0,2,2,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,ff,2,001,female,2024-04-30_13h02.10.612,openIAT,2020.1.0rc3,MacIntel,60,a,0,1.2972,,,,,,,,1.2972,0,0,3,3,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,ff,2,001,female,2024-04-30_13h02.10.612,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.6146,,,,,,,,1.6146,1,0,4,4,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,ff,2,001,female,2024-04-30_13h02.10.612,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.3779,,,,,,,,0.3779,0,0,5,5,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,ff,2,001,female,2024-04-30_13h02.10.612,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.2077,,,,,,,,0.2077,0,0,6,6,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,ff,2,001,female,2024-04-30_13h02.10.612,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.8493,,,,,,,,0.8493,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,ff,2,001,female,2024-04-30_13h02.10.612,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.8951,,,,,,,,0.8951,1,0,8,8,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,ff,2,001,female,2024-04-30_13h02.10.612,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6794,,,,,,,,0.6794,1,0,9,9,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,ff,2,001,female,2024-04-30_13h02.10.612,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,ff,2,001,female,2024-04-30_13h02.10.612,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7879,,,,,,,,0.7879,1,0,0,0,2,1,stimuli/black_2.jpg,,a,,,,,,,,
