instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns
0.085,-0.411,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",fiorella,1,001,female,2022-09-27_17h34.24.267,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,
0.352,-0.241,0,0,0,,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",fiorella,1,001,female,2022-09-27_17h34.24.267,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,fiorella,1,001,female,2022-09-27_17h34.24.267,openIAT,2020.1.0rc3,Win32,60,a,1,1.2139,,,,,,,,1.2139,1,0,0,0,4,1,stimuli/blank.png,Pleasure,a
,,,,,,,,,,,,,fiorella,1,001,female,2022-09-27_17h34.24.267,openIAT,2020.1.0rc3,Win32,60,a,0,0.8943,,,,,,,,0.8943,0,0,1,1,9,1,stimuli/blank.png,Nasty,l
,,,,,,,,,,,,,fiorella,1,001,female,2022-09-27_17h34.24.267,openIAT,2020.1.0rc3,Win32,60,l,1,0.8532,,,,,,,,0.8532,1,0,2,2,1,1,stimuli/blank.png,Bad,l
,,,,,,,,,,,,,fiorella,1,001,female,2022-09-27_17h34.24.267,openIAT,2020.1.0rc3,Win32,60,l,1,0.5052,,,,,,,,0.5052,1,0,3,3,7,1,stimuli/blank.png,Evil,l
,,,,,,,,,,,,,fiorella,1,001,female,2022-09-27_17h34.24.267,openIAT,2020.1.0rc3,Win32,60,a,1,0.6419,,,,,,,,0.6419,1,0,4,4,6,1,stimuli/blank.png,Love,a
,,,,,,,,,,,,,fiorella,1,001,female,2022-09-27_17h34.24.267,openIAT,2020.1.0rc3,Win32,60,a,0,0.9239,,,,,,,,0.9239,0,0,5,5,5,1,stimuli/blank.png,Agony,l
,,,,,,,,,,,,,fiorella,1,001,female,2022-09-27_17h34.24.267,openIAT,2020.1.0rc3,Win32,60,l,1,6.4261,,,,,,,,6.4261,1,0,6,6,3,1,stimuli/blank.png,Hurt,l
,,,,,,,,,,,,,fiorella,1,001,female,2022-09-27_17h34.24.267,openIAT,2020.1.0rc3,Win32,60,a,1,1.6749,,,,,,,,1.6749,1,0,7,7,0,1,stimuli/blank.png,Good,a
,,,,,,,,,,,,,fiorella,1,001,female,2022-09-27_17h34.24.267,openIAT,2020.1.0rc3,Win32,60,a,1,2.5217,,,,,,,,2.5217,1,0,8,8,2,1,stimuli/blank.png,Happy,a
