instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.013048636,-0.377817319,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",g,2,001,female,2021-05-14_10h56.46.392,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.013048636,-0.377817319,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",g,2,001,female,2021-05-14_10h56.46.392,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,g,2,001,female,2021-05-14_10h56.46.392,openIAT,2020.1.0rc3,Win32,60,l,1,1.3081,,,,,,,,1.3081,1,0,0,0,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,g,2,001,female,2021-05-14_10h56.46.392,openIAT,2020.1.0rc3,Win32,60,l,1,1.652385,,,,,,,,1.652385,1,0,1,1,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,g,2,001,female,2021-05-14_10h56.46.392,openIAT,2020.1.0rc3,Win32,60,a,1,0.717285,,,,,,,,0.717285,1,0,2,2,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,g,2,001,female,2021-05-14_10h56.46.392,openIAT,2020.1.0rc3,Win32,60,l,1,0.82865,,,,,,,,0.82865,1,0,3,3,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,g,2,001,female,2021-05-14_10h56.46.392,openIAT,2020.1.0rc3,Win32,60,l,1,1.120305,,,,,,,,1.120305,1,0,4,4,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,g,2,001,female,2021-05-14_10h56.46.392,openIAT,2020.1.0rc3,Win32,60,a,1,0.81713,,,,,,,,0.81713,1,0,5,5,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,g,2,001,female,2021-05-14_10h56.46.392,openIAT,2020.1.0rc3,Win32,60,a,1,0.89008,,,,,,,,0.89008,1,0,6,6,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,g,2,001,female,2021-05-14_10h56.46.392,openIAT,2020.1.0rc3,Win32,60,l,1,0.809375,,,,,,,,0.809375,1,0,7,7,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,g,2,001,female,2021-05-14_10h56.46.392,openIAT,2020.1.0rc3,Win32,60,a,1,0.701995,,,,,,,,0.701995,1,0,8,8,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,g,2,001,female,2021-05-14_10h56.46.392,openIAT,2020.1.0rc3,Win32,60,a,1,0.56901,,,,,,,,0.56901,1,0,9,9,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,g,2,001,female,2021-05-14_10h56.46.392,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,g,2,001,female,2021-05-14_10h56.46.392,openIAT,2020.1.0rc3,Win32,60,a,1,0.988595,,,,,,,,0.988595,1,0,0,0,4,1,stimuli/black_3.jpg,,a,,,,,,,,
