instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,key_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.107407437,-0.372222248,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",gaietta,1,001,female,2021-04-14_20h03.33.006,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.107407437,-0.372222248,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",gaietta,1,001,female,2021-04-14_20h03.33.006,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,gaietta,1,001,female,2021-04-14_20h03.33.006,openIAT,2020.1.0rc3,Win32,60,,0,0.392592631,-0.319444469,1,0,0,2.399315,button_right,2.399315,1,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,,
,,,,,,,,,,,,,gaietta,1,001,female,2021-04-14_20h03.33.006,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,3.586925,1,0,1,1,9,1,stimuli/blank.png,Nasty,l,3.586925,,,,,,,,
,,,,,,,,,,,,,gaietta,1,001,female,2021-04-14_20h03.33.006,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,1.8671,1,0,2,2,2,1,stimuli/blank.png,Happy,a,1.8671,,,,,,,,
,,,,,,,,,,,,,gaietta,1,001,female,2021-04-14_20h03.33.006,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,1.140245,1,0,3,3,8,1,stimuli/blank.png,Joy,a,1.140245,,,,,,,,
,,,,,,,,,,,,,gaietta,1,001,female,2021-04-14_20h03.33.006,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,1.724645,1,0,4,4,3,1,stimuli/blank.png,Hurt,l,1.724645,,,,,,,,
,,,,,,,,,,,,,gaietta,1,001,female,2021-04-14_20h03.33.006,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,1.243015,1,0,5,5,6,1,stimuli/blank.png,Love,a,1.243015,,,,,,,,
,,,,,,,,,,,,,gaietta,1,001,female,2021-04-14_20h03.33.006,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,1.61344,1,0,6,6,7,1,stimuli/blank.png,Evil,l,1.61344,,,,,,,,
,,,,,,,,,,,,,gaietta,1,001,female,2021-04-14_20h03.33.006,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,1.131435,1,0,7,7,1,1,stimuli/blank.png,Bad,l,1.131435,,,,,,,,
