instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.080729167,-0.3984375,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.024739583,-0.397135417,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,a,1,1.675875,,,,,,,,1.675875,1,0,0,0,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,a,0,0.947405,,,,,,,,0.947405,0,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,a,1,1.151305,,,,,,,,1.151305,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,l,1,1.40141,,,,,,,,1.40141,1,0,3,3,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,a,1,0.92833,,,,,,,,0.92833,1,0,4,4,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,l,1,1.31397,,,,,,,,1.31397,1,0,5,5,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,a,1,1.826845,,,,,,,,1.826845,1,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,l,1,1.35707,,,,,,,,1.35707,1,0,7,7,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,a,1,1.784795,,,,,,,,1.784795,1,0,8,8,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,l,1,1.441195,,,,,,,,1.441195,1,0,9,9,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,a,1,2.479475,,,,,,,,2.479475,1,0,0,0,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,a,1,1.4933,,,,,,,,1.4933,1,0,1,1,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,l,1,2.21331,,,,,,,,2.21331,1,0,2,2,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,l,1,2.311315,,,,,,,,2.311315,1,0,3,3,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,a,1,1.980245,,,,,,,,1.980245,1,0,4,4,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,l,1,1.224585,,,,,,,,1.224585,1,0,5,5,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,l,1,2.88434,,,,,,,,2.88434,1,0,6,6,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,a,1,1.15579,,,,,,,,1.15579,1,0,7,7,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,a,1,1.04357,,,,,,,,1.04357,1,0,8,8,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,l,1,1.501115,,,,,,,,1.501115,1,0,9,9,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,,gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,l,1,2.72729,,,,,,,,2.72729,1,0,0,0,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,l,1,3.24551,,,,,,,,3.24551,1,0,1,1,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,gatito,2,001,male,2020-05-22_18h20.09.185,openIAT,2020.1.0rc3,Win32,60,a,1,2.15333,,,,,,,,2.15333,1,0,2,2,4,1,stimuli/black_3.jpg,,a,,,,,,,,
