instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.00052086,-0.404861138,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00052086,-0.404861138,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,l,1,2.4863,,,,,,,,2.4863,1,0,0,0,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,l,1,1.9151,,,,,,,,1.9151,1,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,l,1,1.4741,,,,,,,,1.4741,1,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,l,1,1.7488,,,,,,,,1.7488,1,0,3,3,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,1,0.8495,,,,,,,,0.8495,1,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,1,0.7698,,,,,,,,0.7698,1,0,5,5,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,l,1,0.7386,,,,,,,,0.7386,1,0,6,6,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,1,1.2912,,,,,,,,1.2912,1,0,7,7,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,1,2.3152,,,,,,,,2.3152,1,0,8,8,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,1,1.6088,,,,,,,,1.6088,1,0,9,9,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,1,1.4514,,,,,,,,1.4514,1,0,0,0,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,l,1,0.7925,,,,,,,,0.7925,1,0,1,1,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,l,1,0.6043,,,,,,,,0.6043,1,0,2,2,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,l,1,1.2966,,,,,,,,1.2966,1,0,3,3,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,1,1.1695,,,,,,,,1.1695,1,0,4,4,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,l,1,0.6674,,,,,,,,0.6674,1,0,5,5,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,l,1,0.6258,,,,,,,,0.6258,1,0,6,6,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,1,0.6171,,,,,,,,0.6171,1,0,7,7,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,1,0.7238,,,,,,,,0.7238,1,0,8,8,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,1,0.6645,,,,,,,,0.6645,1,0,9,9,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,1,6.0953,,,,,,,,6.0953,1,0,0,0,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,l,1,1.8627,,,,,,,,1.8627,1,0,1,1,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,1,1.3389,,,,,,,,1.3389,1,0,2,2,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,1,1.2597,,,,,,,,1.2597,1,0,3,3,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,1,1.8474,,,,,,,,1.8474,1,0,4,4,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,l,1,0.9132,,,,,,,,0.9132,1,0,5,5,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,1,1.1653,,,,,,,,1.1653,1,0,6,6,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,l,1,1.13,,,,,,,,1.13,1,0,7,7,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,1,0.6828,,,,,,,,0.6828,1,0,8,8,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,1,0.7407,,,,,,,,0.7407,1,0,9,9,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,l,1,0.6765,,,,,,,,0.6765,1,0,10,10,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,l,1,0.6458,,,,,,,,0.6458,1,0,11,11,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,l,1,0.6327,,,,,,,,0.6327,1,0,12,12,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,1,0.8677,,,,,,,,0.8677,1,0,13,13,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,0,0.5627,,,,,,,,0.5627,0,0,14,14,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,0,0.976,,,,,,,,0.976,0,0,15,15,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,l,1,0.4401,,,,,,,,0.4401,1,0,16,16,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,l,1,0.6964,,,,,,,,0.6964,1,0,17,17,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,1,0.7615,,,,,,,,0.7615,1,0,18,18,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,1,0.7468,,,,,,,,0.7468,1,0,19,19,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,cong_test.xlsx,"A = 
White or 
Positive","L = 
Black or 
Negative"
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,1,0.8155,,,,,,,,0.8155,1,0,0,0,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,1,1.6301,,,,,,,,1.6301,1,0,1,1,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,1,0.4601,,,,,,,,0.4601,1,0,2,2,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,l,1,0.8286,,,,,,,,0.8286,1,0,3,3,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,1,0.9051,,,,,,,,0.9051,1,0,4,4,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,l,1,0.7292,,,,,,,,0.7292,1,0,5,5,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,a,0,0.7985,,,,,,,,0.7985,0,0,6,6,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,gene,1,001,male,2022-04-15_18h48.21.133,openIAT,2020.1.0rc3,Win32,60,l,1,1.0635,,,,,,,,1.0635,1,0,7,7,1,1,stimuli/white_1.jpg,,l,,,,,,,,
