instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.012037037,-0.388888889,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.028703704,-0.4,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,3.158,,,,,,,,3.158,1,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,1.418,,,,,,,,1.418,1,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,0.832,,,,,,,,0.832,1,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,0.926,,,,,,,,0.926,1,0,3,3,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,0.652,,,,,,,,0.652,1,0,4,4,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,0.801,,,,,,,,0.801,1,0,5,5,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,0.692,,,,,,,,0.692,1,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,0.611,,,,,,,,0.611,1,0,7,7,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,0.667,,,,,,,,0.667,1,0,8,8,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,0.885,,,,,,,,0.885,1,0,9,9,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,3.406,,,,,,,,3.406,1,0,0,0,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,2.218,,,,,,,,2.218,1,0,1,1,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,2.203,,,,,,,,2.203,1,0,2,2,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,1.29,,,,,,,,1.29,1,0,3,3,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,0.89,,,,,,,,0.89,1,0,4,4,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,0.706,,,,,,,,0.706,1,0,5,5,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,0,0.834,,,,,,,,0.834,0,0,6,6,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,1.493,,,,,,,,1.493,1,0,7,7,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,2.887,,,,,,,,2.887,1,0,8,8,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,0.887,,,,,,,,0.887,1,0,9,9,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,2.342,,,,,,,,2.342,1,0,0,0,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,0.882,,,,,,,,0.882,1,0,1,1,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,1.135,,,,,,,,1.135,1,0,2,2,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,0.995,,,,,,,,0.995,1,0,3,3,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,1.593,,,,,,,,1.593,1,0,4,4,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,1.134,,,,,,,,1.134,1,0,5,5,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,0.874,,,,,,,,0.874,1,0,6,6,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,0.652,,,,,,,,0.652,1,0,7,7,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,3.039,,,,,,,,3.039,1,0,8,8,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,0.752,,,,,,,,0.752,1,0,9,9,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,0.897,,,,,,,,0.897,1,0,10,10,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,0.703,,,,,,,,0.703,1,0,11,11,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,0.639,,,,,,,,0.639,1,0,12,12,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,0.446,,,,,,,,0.446,1,0,13,13,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,0.932,,,,,,,,0.932,1,0,14,14,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,1.031,,,,,,,,1.031,1,0,15,15,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,0.68,,,,,,,,0.68,1,0,16,16,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,0.95,,,,,,,,0.95,1,0,17,17,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,1.356,,,,,,,,1.356,1,0,18,18,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,0.898,,,,,,,,0.898,1,0,19,19,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,cong_test.xlsx,"A = 
White or 
Positive","L = 
Black or 
Negative"
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,0,1.653,,,,,,,,1.653,0,0,0,0,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,1.653,,,,,,,,1.653,1,0,1,1,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,1.172,,,,,,,,1.172,1,0,2,2,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,0.856,,,,,,,,0.856,1,0,3,3,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,0.816,,,,,,,,0.816,1,0,4,4,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,0.833,,,,,,,,0.833,1,0,5,5,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,0.75,,,,,,,,0.75,1,0,6,6,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,0.719,,,,,,,,0.719,1,0,7,7,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,0.863,,,,,,,,0.863,1,0,8,8,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,0.726,,,,,,,,0.726,1,0,9,9,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,1.573,,,,,,,,1.573,1,0,0,0,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,1.426,,,,,,,,1.426,1,0,1,1,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,1.923,,,,,,,,1.923,1,0,2,2,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,1.249,,,,,,,,1.249,1,0,3,3,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,0.902,,,,,,,,0.902,1,0,4,4,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,1.088,,,,,,,,1.088,1,0,5,5,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,0.983,,,,,,,,0.983,1,0,6,6,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,0.74,,,,,,,,0.74,1,0,7,7,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,0,0.674,,,,,,,,0.674,0,0,8,8,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,1.371,,,,,,,,1.371,1,0,9,9,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,1.169,,,,,,,,1.169,1,0,10,10,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,0.866,,,,,,,,0.866,1,0,11,11,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,0.789,,,,,,,,0.789,1,0,12,12,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,1.226,,,,,,,,1.226,1,0,13,13,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,0.789,,,,,,,,0.789,1,0,14,14,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,0,1.192,,,,,,,,1.192,0,0,15,15,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,0.836,,,,,,,,0.836,1,0,16,16,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,l,1,1.677,,,,,,,,1.677,1,0,17,17,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,0.99,,,,,,,,0.99,1,0,18,18,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,gkhk,1,001,male,2023-08-26_17h07.46.360,openIAT,2020.1.0rc3,Win32,60,a,1,1.003,,,,,,,,1.003,1,0,19,19,12,1,stimuli/blank.png,Happy,a,,,,,,,,
