instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.024074074,-0.378703704,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",h,2,001,male,2021-02-23_12h49.47.899,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00462963,-0.387962963,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",h,2,001,male,2021-02-23_12h49.47.899,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,h,2,001,male,2021-02-23_12h49.47.899,openIAT,2020.1.0rc3,Win32,60,,0,0.318518519,-0.321296296,1,0,0,1.543895,button_right,1.543895,1,0,0,0,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,h,2,001,male,2021-02-23_12h49.47.899,openIAT,2020.1.0rc3,Win32,60,,0,0.318518519,-0.321296296,1,0,0,1.04945,button_right,1.04945,1,0,1,1,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,h,2,001,male,2021-02-23_12h49.47.899,openIAT,2020.1.0rc3,Win32,60,,0,0.318518519,-0.321296296,1,0,0,1.27947,button_right,1.27947,1,0,2,2,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,h,2,001,male,2021-02-23_12h49.47.899,openIAT,2020.1.0rc3,Win32,60,,0,0.318518519,-0.321296296,1,0,0,0.665565,button_right,0.665565,1,0,3,3,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,h,2,001,male,2021-02-23_12h49.47.899,openIAT,2020.1.0rc3,Win32,60,,0,-0.24537037,-0.30462963,1,0,0,0.91546,button_left,0.91546,1,0,4,4,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,h,2,001,male,2021-02-23_12h49.47.899,openIAT,2020.1.0rc3,Win32,60,,0,-0.385185185,-0.312962963,1,0,0,3.60219,button_left,3.60219,1,0,5,5,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,h,2,001,male,2021-02-23_12h49.47.899,openIAT,2020.1.0rc3,Win32,60,,0,-0.374074074,-0.312037037,1,0,0,0.882055,button_left,0.882055,1,0,6,6,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,h,2,001,male,2021-02-23_12h49.47.899,openIAT,2020.1.0rc3,Win32,60,,0,-0.374074074,-0.312037037,1,0,0,0.682235,button_left,0.682235,1,0,7,7,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,h,2,001,male,2021-02-23_12h49.47.899,openIAT,2020.1.0rc3,Win32,60,,0,0.221296296,-0.322222222,1,0,0,0.929515,button_right,0.929515,1,0,8,8,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
