instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.087962963,-0.363888889,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",h,1,001,female,2024-03-01_18h20.59.467,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00462963,-0.381481481,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",h,1,001,female,2024-03-01_18h20.59.467,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,h,1,001,female,2024-03-01_18h20.59.467,openIAT,2020.1.0rc3,Win32,60,a,1,3.166,,,,,,,,3.166,1,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,h,1,001,female,2024-03-01_18h20.59.467,openIAT,2020.1.0rc3,Win32,60,l,1,1.0736,,,,,,,,1.0736,1,0,1,1,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,h,1,001,female,2024-03-01_18h20.59.467,openIAT,2020.1.0rc3,Win32,60,a,1,1.3461,,,,,,,,1.3461,1,0,2,2,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,h,1,001,female,2024-03-01_18h20.59.467,openIAT,2020.1.0rc3,Win32,60,l,0,1.3278,,,,,,,,1.3278,0,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,h,1,001,female,2024-03-01_18h20.59.467,openIAT,2020.1.0rc3,Win32,60,a,1,1.8374,,,,,,,,1.8374,1,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,h,1,001,female,2024-03-01_18h20.59.467,openIAT,2020.1.0rc3,Win32,60,l,1,1.0845,,,,,,,,1.0845,1,0,5,5,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,h,1,001,female,2024-03-01_18h20.59.467,openIAT,2020.1.0rc3,Win32,60,a,0,1.0636,,,,,,,,1.0636,0,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,h,1,001,female,2024-03-01_18h20.59.467,openIAT,2020.1.0rc3,Win32,60,l,1,1.177,,,,,,,,1.177,1,0,7,7,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,h,1,001,female,2024-03-01_18h20.59.467,openIAT,2020.1.0rc3,Win32,60,a,1,1.0707,,,,,,,,1.0707,1,0,8,8,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,h,1,001,female,2024-03-01_18h20.59.467,openIAT,2020.1.0rc3,Win32,60,a,0,1.6107,,,,,,,,1.6107,0,0,9,9,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,h,1,001,female,2024-03-01_18h20.59.467,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
