instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.005555529,-0.376851934,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",hello,1,001,female,2021-07-16_14h32.30.229,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.011111138,-0.392592619,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",hello,1,001,female,2021-07-16_14h32.30.229,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,hello,1,001,female,2021-07-16_14h32.30.229,openIAT,2020.1.0rc3,Win32,60,a,0,1.8077,,,,,,,,1.8077,0,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,hello,1,001,female,2021-07-16_14h32.30.229,openIAT,2020.1.0rc3,Win32,60,l,1,1.7883,,,,,,,,1.7883,1,0,1,1,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,hello,1,001,female,2021-07-16_14h32.30.229,openIAT,2020.1.0rc3,Win32,60,l,1,1.369,,,,,,,,1.369,1,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,hello,1,001,female,2021-07-16_14h32.30.229,openIAT,2020.1.0rc3,Win32,60,a,1,1.6555,,,,,,,,1.6555,1,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,hello,1,001,female,2021-07-16_14h32.30.229,openIAT,2020.1.0rc3,Win32,60,l,1,1.4614,,,,,,,,1.4614,1,0,4,4,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,hello,1,001,female,2021-07-16_14h32.30.229,openIAT,2020.1.0rc3,Win32,60,a,1,1.0932,,,,,,,,1.0932,1,0,5,5,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,hello,1,001,female,2021-07-16_14h32.30.229,openIAT,2020.1.0rc3,Win32,60,a,1,1.5399,,,,,,,,1.5399,1,0,6,6,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,hello,1,001,female,2021-07-16_14h32.30.229,openIAT,2020.1.0rc3,Win32,60,l,1,1.7225,,,,,,,,1.7225,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,hello,1,001,female,2021-07-16_14h32.30.229,openIAT,2020.1.0rc3,Win32,60,a,1,0.9075,,,,,,,,0.9075,1,0,8,8,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,hello,1,001,female,2021-07-16_14h32.30.229,openIAT,2020.1.0rc3,Win32,60,a,1,1.1036,,,,,,,,1.1036,1,0,9,9,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,hello,1,001,female,2021-07-16_14h32.30.229,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,hello,1,001,female,2021-07-16_14h32.30.229,openIAT,2020.1.0rc3,Win32,60,,0,,-0.424739992,-0.386152188,1,0,0,3.33,button_left,3.33,1,0,0,0,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,hello,1,001,female,2021-07-16_14h32.30.229,openIAT,2020.1.0rc3,Win32,60,,0,,-0.424739992,-0.386152188,1,0,0,1.698,button_left,1.698,0,0,1,1,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hello,1,001,female,2021-07-16_14h32.30.229,openIAT,2020.1.0rc3,Win32,60,,0,,0.391899331,-0.333607031,1,0,0,0.8658,button_right,0.8658,0,0,2,2,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,hello,1,001,female,2021-07-16_14h32.30.229,openIAT,2020.1.0rc3,Win32,60,,0,,0.405035621,-0.321565499,1,0,0,2.9483,button_right,2.9483,1,0,3,3,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hello,1,001,female,2021-07-16_14h32.30.229,openIAT,2020.1.0rc3,Win32,60,,0,,-0.321839059,-0.357690295,1,0,0,1.8648,button_left,1.8648,0,0,4,4,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
