instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.001851852,-0.405555556,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.001851852,-0.405555556,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,a,1,1.5786,,,,,,,,1.5786,1,0,0,0,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,a,1,1.0379,,,,,,,,1.0379,1,0,1,1,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,l,1,1.5815,,,,,,,,1.5815,1,0,2,2,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,l,0,1.2896,,,,,,,,1.2896,0,0,3,3,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,l,1,3.1492,,,,,,,,3.1492,1,0,4,4,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,l,1,0.8983,,,,,,,,0.8983,1,0,5,5,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,l,0,0.5004,,,,,,,,0.5004,0,0,6,6,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,l,1,1.2186,,,,,,,,1.2186,1,0,7,7,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,a,1,0.7663,,,,,,,,0.7663,1,0,8,8,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,l,1,0.8143,,,,,,,,0.8143,1,0,9,9,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,l,1,4.96,,,,,,,,4.96,1,0,0,0,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,a,1,1.1499,,,,,,,,1.1499,1,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,a,1,1.3242,,,,,,,,1.3242,1,0,2,2,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,l,1,0.6221,,,,,,,,0.6221,1,0,3,3,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,l,1,0.6361,,,,,,,,0.6361,1,0,4,4,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,l,1,0.635,,,,,,,,0.635,1,0,5,5,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,l,1,0.6496,,,,,,,,0.6496,1,0,6,6,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,a,1,0.797,,,,,,,,0.797,1,0,7,7,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,a,1,0.6197,,,,,,,,0.6197,1,0,8,8,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,a,1,0.9469,,,,,,,,0.9469,1,0,9,9,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,a,1,1.3809,,,,,,,,1.3809,1,0,0,0,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,a,1,1.0184,,,,,,,,1.0184,1,0,1,1,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,a,1,2.7274,,,,,,,,2.7274,1,0,2,2,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,a,1,0.6336,,,,,,,,0.6336,1,0,3,3,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,l,1,0.9063,,,,,,,,0.9063,1,0,4,4,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,a,1,0.9277,,,,,,,,0.9277,1,0,5,5,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,l,1,1.0689,,,,,,,,1.0689,1,0,6,6,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,a,1,0.8816,,,,,,,,0.8816,1,0,7,7,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,a,1,0.6948,,,,,,,,0.6948,1,0,8,8,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,l,1,1.1214,,,,,,,,1.1214,1,0,9,9,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,l,1,0.8026,,,,,,,,0.8026,1,0,10,10,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,l,1,0.7895,,,,,,,,0.7895,1,0,11,11,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,l,1,0.821,,,,,,,,0.821,1,0,12,12,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,l,1,0.6547,,,,,,,,0.6547,1,0,13,13,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,l,1,0.6553,,,,,,,,0.6553,1,0,14,14,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,a,1,0.6743,,,,,,,,0.6743,1,0,15,15,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,hgjd,1,001,male,2023-05-04_09h04.42.065,openIAT,2020.1.0rc3,Win32,60,l,1,0.8288,,,,,,,,0.8288,1,0,16,16,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
