instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,key_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.028619046,-0.387736257,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",hi,1,001,male,2023-09-12_12h29.46.266,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.026384226,-0.388239458,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",hi,1,001,male,2023-09-12_12h29.46.266,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,hi,1,001,male,2023-09-12_12h29.46.266,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.54982499,-0.320584022,1,0,0,1.0145,button_left,1.0145,1,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,,
,,,,,,,,,,,,,hi,1,001,male,2023-09-12_12h29.46.266,openIAT,2020.1.0rc3,MacIntel,60,,0,0.253191969,-0.247166951,1,0,0,1.1636,button_right,1.1636,0,0,1,1,2,1,stimuli/blank.png,Happy,a,,,,,,,,,
,,,,,,,,,,,,,hi,1,001,male,2023-09-12_12h29.46.266,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.357945675,-0.245571815,1,0,0,0.2959,button_left,0.2959,0,0,2,2,1,1,stimuli/blank.png,Bad,l,,,,,,,,,
,,,,,,,,,,,,,hi,1,001,male,2023-09-12_12h29.46.266,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.215104802,-0.261584388,1,0,0,2.6487,button_left,2.6487,0,0,3,3,9,1,stimuli/blank.png,Nasty,l,,,,,,,,,
,,,,,,,,,,,,,hi,1,001,male,2023-09-12_12h29.46.266,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.082057699,-0.193794462,1,0,0,0.6648,button_right,0.6648,1,0,4,4,5,1,stimuli/blank.png,Agony,l,,,,,,,,,
,,,,,,,,,,,,,hi,1,001,male,2023-09-12_12h29.46.266,openIAT,2020.1.0rc3,MacIntel,60,,0,0.341064707,-0.260880449,1,0,0,0.3315,button_right,0.3315,1,0,5,5,3,1,stimuli/blank.png,Hurt,l,,,,,,,,,
,,,,,,,,,,,,,hi,1,001,male,2023-09-12_12h29.46.266,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.259911431,-0.260194906,1,0,0,0.9655,button_left,0.9655,1,0,6,6,6,1,stimuli/blank.png,Love,a,,,,,,,,,
,,,,,,,,,,,,,hi,1,001,male,2023-09-12_12h29.46.266,openIAT,2020.1.0rc3,MacIntel,60,,0,0.517636787,-0.311410777,1,0,0,1.4807,button_right,1.4807,1,0,7,7,7,1,stimuli/blank.png,Evil,l,,,,,,,,,
