instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.002222222,-0.405555556,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",hit,1,001,male,2022-11-04_23h10.36.790,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.002222222,-0.405555556,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",hit,1,001,male,2022-11-04_23h10.36.790,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,hit,1,001,male,2022-11-04_23h10.36.790,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.256666667,-0.301111111,1,0,0,2.778,button_left,2.778,1,0,0,0,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,hit,1,001,male,2022-11-04_23h10.36.790,openIAT,2020.1.0rc3,MacIntel,60,,0,0.317777778,-0.311111111,1,0,0,1.193,button_right,1.193,1,0,1,1,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,hit,1,001,male,2022-11-04_23h10.36.790,openIAT,2020.1.0rc3,MacIntel,60,,0,0.307777778,-0.322222222,1,0,0,6.926,button_right,6.926,1,0,2,2,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,hit,1,001,male,2022-11-04_23h10.36.790,openIAT,2020.1.0rc3,MacIntel,60,,0,0.307777778,-0.323333333,1,0,0,1.397,button_right,1.397,1,0,3,3,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,hit,1,001,male,2022-11-04_23h10.36.790,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.435555556,-0.298888889,1,0,0,1.378,button_left,1.378,1,0,4,4,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,hit,1,001,male,2022-11-04_23h10.36.790,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.418888889,-0.342222222,1,0,0,0.963,button_left,0.963,1,0,5,5,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,hit,1,001,male,2022-11-04_23h10.36.790,openIAT,2020.1.0rc3,MacIntel,60,,0,0.381111111,-0.238888889,1,0,0,1.894,button_right,1.894,1,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,hit,1,001,male,2022-11-04_23h10.36.790,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.345555556,-0.318888889,1,0,0,0.594,button_left,0.594,1,0,7,7,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,hit,1,001,male,2022-11-04_23h10.36.790,openIAT,2020.1.0rc3,MacIntel,60,,0,0.386666667,-0.33,1,0,0,0.264,button_right,0.264,1,0,8,8,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,hit,1,001,male,2022-11-04_23h10.36.790,openIAT,2020.1.0rc3,MacIntel,60,,0,0.374444444,-0.321111111,1,0,0,0.213,button_right,0.213,0,0,9,9,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,hit,1,001,male,2022-11-04_23h10.36.790,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,hit,1,001,male,2022-11-04_23h10.36.790,openIAT,2020.1.0rc3,MacIntel,60,,0,0.427777778,-0.313333333,1,0,0,2.642,button_right,2.642,1,0,0,0,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hit,1,001,male,2022-11-04_23h10.36.790,openIAT,2020.1.0rc3,MacIntel,60,,0,0.372222222,-0.283333333,1,0,0,0.73,button_right,0.73,0,0,1,1,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,hit,1,001,male,2022-11-04_23h10.36.790,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.317777778,-0.308888889,1,0,0,0.313,button_left,0.313,0,0,2,2,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
