instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.003333333,-0.3725,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.031666667,-0.403333333,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,l,1,1.001,,,,,,,,1.001,1,0,0,0,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,a,1,0.698,,,,,,,,0.698,1,0,1,1,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,a,1,0.648,,,,,,,,0.648,1,0,2,2,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,l,1,0.565,,,,,,,,0.565,1,0,3,3,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,a,1,0.453,,,,,,,,0.453,1,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,l,1,0.595,,,,,,,,0.595,1,0,5,5,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,a,1,0.583,,,,,,,,0.583,1,0,6,6,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,a,1,0.979,,,,,,,,0.979,1,0,7,7,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,l,1,0.614,,,,,,,,0.614,1,0,8,8,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,a,0,0.58,,,,,,,,0.58,0,0,9,9,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,a,1,6.08,,,,,,,,6.08,1,0,0,0,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,l,1,0.667,,,,,,,,0.667,1,0,1,1,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,l,1,0.762,,,,,,,,0.762,1,0,2,2,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,a,1,0.831,,,,,,,,0.831,1,0,3,3,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,a,1,1.298,,,,,,,,1.298,1,0,4,4,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,a,1,1.245,,,,,,,,1.245,1,0,5,5,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,a,1,0.633,,,,,,,,0.633,1,0,6,6,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,l,1,0.63,,,,,,,,0.63,1,0,7,7,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,l,1,0.632,,,,,,,,0.632,1,0,8,8,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,l,1,0.499,,,,,,,,0.499,1,0,9,9,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,a,1,0.815,,,,,,,,0.815,1,0,0,0,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,a,1,1.135,,,,,,,,1.135,1,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,a,1,0.831,,,,,,,,0.831,1,0,2,2,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,l,1,0.713,,,,,,,,0.713,1,0,3,3,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,a,1,0.666,,,,,,,,0.666,1,0,4,4,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,a,1,0.779,,,,,,,,0.779,1,0,5,5,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,a,1,0.613,,,,,,,,0.613,1,0,6,6,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,hj,1,001,male,2022-03-10_10h53.31.107,openIAT,2020.1.0rc3,Win32,60,a,1,0.779,,,,,,,,0.779,1,0,7,7,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
