instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.027777778,-0.396296296,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.023148148,-0.397222222,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,l,1,1.9442,,,,,,,,1.9442,1,0,0,0,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,a,1,1.1479,,,,,,,,1.1479,1,0,1,1,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,a,1,1.3617,,,,,,,,1.3617,1,0,2,2,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,l,1,1.0054,,,,,,,,1.0054,1,0,3,3,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,a,0,0.8561,,,,,,,,0.8561,0,0,4,4,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,a,1,1.4638,,,,,,,,1.4638,1,0,5,5,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,a,1,0.8631,,,,,,,,0.8631,1,0,6,6,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,l,1,0.784,,,,,,,,0.784,1,0,7,7,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,l,1,0.7787,,,,,,,,0.7787,1,0,8,8,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,a,1,0.9344,,,,,,,,0.9344,1,0,9,9,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,l,1,1.1664,,,,,,,,1.1664,1,0,0,0,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,l,1,0.8884,,,,,,,,0.8884,1,0,1,1,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,l,1,0.9343,,,,,,,,0.9343,1,0,2,2,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,a,1,1.011,,,,,,,,1.011,1,0,3,3,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,a,1,0.9346,,,,,,,,0.9346,1,0,4,4,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,l,1,0.659,,,,,,,,0.659,1,0,5,5,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,a,1,1.3485,,,,,,,,1.3485,1,0,6,6,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,a,1,0.9843,,,,,,,,0.9843,1,0,7,7,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,l,1,0.7543,,,,,,,,0.7543,1,0,8,8,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,a,1,1.1591,,,,,,,,1.1591,1,0,9,9,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,a,1,2.8713,,,,,,,,2.8713,1,0,0,0,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,a,1,0.839,,,,,,,,0.839,1,0,1,1,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,l,1,1.417,,,,,,,,1.417,1,0,2,2,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,l,1,0.851,,,,,,,,0.851,1,0,3,3,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,l,1,0.6091,,,,,,,,0.6091,1,0,4,4,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,l,1,0.9243,,,,,,,,0.9243,1,0,5,5,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,l,1,0.6569,,,,,,,,0.6569,1,0,6,6,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,l,1,0.6169,,,,,,,,0.6169,1,0,7,7,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,l,0,0.6349,,,,,,,,0.6349,0,0,8,8,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,a,1,0.9501,,,,,,,,0.9501,1,0,9,9,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,l,1,0.8566,,,,,,,,0.8566,1,0,10,10,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,l,1,0.7291,,,,,,,,0.7291,1,0,11,11,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,hn,1,001,male,2024-02-29_15h38.48.084,openIAT,2020.1.0rc3,Win32,60,a,1,0.8153,,,,,,,,0.8153,1,0,12,12,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
