instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.022222222,-0.39537037,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.022222222,-0.39537037,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,l,1,2.412,,,,,,,,2.412,1,0,0,0,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,l,0,2.1406,,,,,,,,2.1406,0,0,1,1,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,l,1,0.8661,,,,,,,,0.8661,1,0,2,2,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,l,1,0.8749,,,,,,,,0.8749,1,0,3,3,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,a,1,1.5723,,,,,,,,1.5723,1,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,l,1,1.5642,,,,,,,,1.5642,1,0,5,5,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,a,0,0.3172,,,,,,,,0.3172,0,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,a,1,1.2489,,,,,,,,1.2489,1,0,7,7,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,l,0,0.9859,,,,,,,,0.9859,0,0,8,8,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,a,1,0.7987,,,,,,,,0.7987,1,0,9,9,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,l,0,2.2294,,,,,,,,2.2294,0,0,0,0,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,l,0,2.1834,,,,,,,,2.1834,0,0,1,1,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,a,1,0.7671,,,,,,,,0.7671,1,0,2,2,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,l,1,0.9078,,,,,,,,0.9078,1,0,3,3,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,a,1,0.8028,,,,,,,,0.8028,1,0,4,4,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,a,1,0.7753,,,,,,,,0.7753,1,0,5,5,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,l,1,1.0659,,,,,,,,1.0659,1,0,6,6,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,a,0,2.9519,,,,,,,,2.9519,0,0,7,7,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,l,1,0.9171,,,,,,,,0.9171,1,0,8,8,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,l,1,0.595,,,,,,,,0.595,1,0,9,9,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,l,0,0.4702,,,,,,,,0.4702,0,0,0,0,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,l,1,0.7701,,,,,,,,0.7701,1,0,1,1,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,a,1,0.7252,,,,,,,,0.7252,1,0,2,2,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,l,0,0.6581,,,,,,,,0.6581,0,0,3,3,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,a,1,1.5136,,,,,,,,1.5136,1,0,4,4,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,l,1,1.6669,,,,,,,,1.6669,1,0,5,5,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,a,1,3.3447,,,,,,,,3.3447,1,0,6,6,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,l,1,0.9014,,,,,,,,0.9014,1,0,7,7,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,a,1,0.751,,,,,,,,0.751,1,0,8,8,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,a,1,1.1571,,,,,,,,1.1571,1,0,9,9,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,l,1,0.8122,,,,,,,,0.8122,1,0,10,10,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,l,1,1.0017,,,,,,,,1.0017,1,0,11,11,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,a,0,0.8277,,,,,,,,0.8277,0,0,12,12,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,a,1,1.2266,,,,,,,,1.2266,1,0,13,13,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,l,1,0.7659,,,,,,,,0.7659,1,0,14,14,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,a,1,1.5983,,,,,,,,1.5983,1,0,15,15,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,a,0,0.7083,,,,,,,,0.7083,0,0,16,16,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,l,1,0.6605,,,,,,,,0.6605,1,0,17,17,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,a,1,1.1787,,,,,,,,1.1787,1,0,18,18,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,l,1,1.304,,,,,,,,1.304,1,0,19,19,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,huu,1,001,male,2024-03-11_16h30.32.369,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,cong_test.xlsx,"A = 
White or 
Positive","L = 
Black or 
Negative"
