instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.045138889,-0.369212963,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",ilo,1,001,male,2021-01-11_19h06.49.229,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.077546296,-0.377314815,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",ilo,1,001,male,2021-01-11_19h06.49.229,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ilo,1,001,male,2021-01-11_19h06.49.229,openIAT,2020.1.0rc3,Win32,60,l,1,2.299,,,,,,,,2.299,1,0,0,0,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,ilo,1,001,male,2021-01-11_19h06.49.229,openIAT,2020.1.0rc3,Win32,60,,0,,-0.298611111,-0.287037037,1,0,0,4.447,button_left,4.447,1,0,1,1,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,ilo,1,001,male,2021-01-11_19h06.49.229,openIAT,2020.1.0rc3,Win32,60,,0,,-0.280092593,-0.244212963,1,0,0,1.181,button_left,1.181,1,0,2,2,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,ilo,1,001,male,2021-01-11_19h06.49.229,openIAT,2020.1.0rc3,Win32,60,,0,,-0.331018519,-0.239583333,1,0,0,1.096,button_left,1.096,1,0,3,3,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,ilo,1,001,male,2021-01-11_19h06.49.229,openIAT,2020.1.0rc3,Win32,60,,0,,0.201388889,-0.270833333,1,0,0,1.432,button_right,1.432,1,0,4,4,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,ilo,1,001,male,2021-01-11_19h06.49.229,openIAT,2020.1.0rc3,Win32,60,,0,,0.201388889,-0.270833333,1,0,0,0.631,button_right,0.631,1,0,5,5,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,ilo,1,001,male,2021-01-11_19h06.49.229,openIAT,2020.1.0rc3,Win32,60,,0,,-0.354166667,-0.291666667,1,0,0,1.381,button_left,1.381,1,0,6,6,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,ilo,1,001,male,2021-01-11_19h06.49.229,openIAT,2020.1.0rc3,Win32,60,,0,,-0.34837963,-0.290509259,1,0,0,0.664,button_left,0.664,1,0,7,7,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,ilo,1,001,male,2021-01-11_19h06.49.229,openIAT,2020.1.0rc3,Win32,60,,0,,0.408564815,-0.354166667,1,0,0,0.882,button_right,0.882,1,0,8,8,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,ilo,1,001,male,2021-01-11_19h06.49.229,openIAT,2020.1.0rc3,Win32,60,,0,,0.445601852,-0.259259259,1,0,0,1.348,button_right,1.348,1,0,9,9,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,ilo,1,001,male,2021-01-11_19h06.49.229,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,ilo,1,001,male,2021-01-11_19h06.49.229,openIAT,2020.1.0rc3,Win32,60,,0,,-0.247685185,-0.300925926,1,0,0,1.795,button_left,1.795,1,0,0,0,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,ilo,1,001,male,2021-01-11_19h06.49.229,openIAT,2020.1.0rc3,Win32,60,,0,,0.391203704,-0.259259259,1,0,0,1.766,button_right,1.766,1,0,1,1,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
