instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.013888863,-0.238888911,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.290740776,-0.347222247,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.311111111,-0.283333333,1,0,0,2.22985,button_left,2.22985,1,0,0,0,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.425925912,-0.328703732,1,0,0,1.229965,button_left,1.229965,1,0,1,1,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.424074046,-0.344444444,1,0,0,1.696875,button_left,1.696875,1,0,2,2,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.466666667,-0.30648151,1,0,0,0.71342,button_right,0.71342,1,0,3,3,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.440740712,-0.362037065,1,0,0,0.962785,button_left,0.962785,1,0,4,4,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.455555556,-0.334259288,1,0,0,1.05173,button_right,1.05173,1,0,5,5,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.437962935,-0.360185242,1,0,0,1.031795,button_left,1.031795,0,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.442592621,-0.333333333,1,0,0,1.04633,button_right,1.04633,1,0,7,7,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.435185242,-0.319444444,1,0,0,0.76355,button_right,0.76355,1,0,8,8,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.444444444,-0.368518575,1,0,0,1.263215,button_left,1.263215,1,0,9,9,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.45648151,-0.350925954,1,0,0,1.99436,button_right,1.99436,1,0,0,0,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.462037065,-0.353703732,1,0,0,1.687005,button_right,1.687005,1,0,1,1,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.441666667,-0.329629686,1,0,0,1.314825,button_right,1.314825,1,0,2,2,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.422222222,-0.368518575,1,0,0,1.73071,button_left,1.73071,1,0,3,3,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.452777778,-0.353703732,1,0,0,0.997,button_left,0.997,1,0,4,4,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
