instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.051111111,-0.367777778,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.005555556,-0.374444444,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,1.1468,,,,,,,,1.1468,1,0,0,0,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,0.8627,,,,,,,,0.8627,1,0,1,1,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,0.6769,,,,,,,,0.6769,1,0,2,2,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,0.4719,,,,,,,,0.4719,1,0,3,3,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,0.4566,,,,,,,,0.4566,1,0,4,4,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,0.5146,,,,,,,,0.5146,1,0,5,5,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,0.474,,,,,,,,0.474,1,0,6,6,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,0.4223,,,,,,,,0.4223,1,0,7,7,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,0.5032,,,,,,,,0.5032,1,0,8,8,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,0.6777,,,,,,,,0.6777,1,0,9,9,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,2.5985,,,,,,,,2.5985,1,0,0,0,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,0,4.6763,,,,,,,,4.6763,0,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,1.3802,,,,,,,,1.3802,1,0,2,2,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,0.9359,,,,,,,,0.9359,1,0,3,3,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,0.9317,,,,,,,,0.9317,1,0,4,4,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,0.9719,,,,,,,,0.9719,1,0,5,5,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,0.9713,,,,,,,,0.9713,1,0,6,6,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,1.0487,,,,,,,,1.0487,1,0,7,7,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,0.8488,,,,,,,,0.8488,1,0,8,8,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,1.0266,,,,,,,,1.0266,1,0,9,9,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,1.3492,,,,,,,,1.3492,1,0,0,0,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,0.7615,,,,,,,,0.7615,1,0,1,1,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,1.189,,,,,,,,1.189,1,0,2,2,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,0,0.4577,,,,,,,,0.4577,0,0,3,3,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,0,0.461,,,,,,,,0.461,0,0,4,4,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,0.743,,,,,,,,0.743,1,0,5,5,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,1.6849,,,,,,,,1.6849,1,0,6,6,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,1.27,,,,,,,,1.27,1,0,7,7,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,0.7867,,,,,,,,0.7867,1,0,8,8,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,0.5243,,,,,,,,0.5243,1,0,9,9,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,0.7529,,,,,,,,0.7529,1,0,10,10,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,0.6741,,,,,,,,0.6741,1,0,11,11,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,0.5011,,,,,,,,0.5011,1,0,12,12,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,0.7209,,,,,,,,0.7209,1,0,13,13,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,0.5345,,,,,,,,0.5345,1,0,14,14,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,0,0.4811,,,,,,,,0.4811,0,0,15,15,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,0.6867,,,,,,,,0.6867,1,0,16,16,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,0.9624,,,,,,,,0.9624,1,0,17,17,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,0.7022,,,,,,,,0.7022,1,0,18,18,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,0.782,,,,,,,,0.782,1,0,19,19,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,cong_test.xlsx,"A = 
White or 
Positive","L = 
Black or 
Negative"
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,0.9653,,,,,,,,0.9653,1,0,0,0,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,0.769,,,,,,,,0.769,1,0,1,1,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,0.8003,,,,,,,,0.8003,1,0,2,2,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,0.5192,,,,,,,,0.5192,1,0,3,3,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,0.7505,,,,,,,,0.7505,1,0,4,4,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,0.4457,,,,,,,,0.4457,1,0,5,5,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,0.5372,,,,,,,,0.5372,1,0,6,6,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,1.4062,,,,,,,,1.4062,1,0,7,7,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,0.6211,,,,,,,,0.6211,1,0,8,8,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,0.7561,,,,,,,,0.7561,1,0,9,9,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,1.134,,,,,,,,1.134,1,0,0,0,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,0.5748,,,,,,,,0.5748,1,0,1,1,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,0.5491,,,,,,,,0.5491,1,0,2,2,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,0.7669,,,,,,,,0.7669,1,0,3,3,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,0,0.7598,,,,,,,,0.7598,0,0,4,4,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,0.6717,,,,,,,,0.6717,1,0,5,5,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,0.9698,,,,,,,,0.9698,1,0,6,6,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,0.8372,,,,,,,,0.8372,1,0,7,7,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,0.5843,,,,,,,,0.5843,1,0,8,8,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,0.8055,,,,,,,,0.8055,1,0,9,9,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,0.7619,,,,,,,,0.7619,1,0,10,10,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,0.6407,,,,,,,,0.6407,1,0,11,11,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,1.9238,,,,,,,,1.9238,1,0,12,12,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,0.6243,,,,,,,,0.6243,1,0,13,13,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,1.2173,,,,,,,,1.2173,1,0,14,14,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,1.9155,,,,,,,,1.9155,1,0,15,15,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,1.6355,,,,,,,,1.6355,1,0,16,16,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,0,0.8356,,,,,,,,0.8356,0,0,17,17,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,l,1,0.669,,,,,,,,0.669,1,0,18,18,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,james,1,001,male,2021-09-02_14h41.36.535,openIAT,2020.1.0rc3,Win32,60,a,1,0.7025,,,,,,,,0.7025,1,0,19,19,4,1,stimuli/black_3.jpg,,a,,,,,,,,
