instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.03625902,-0.412990112,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",jh,2,001,male,2022-11-23_09h57.57.623,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03625902,-0.412990112,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",jh,2,001,male,2022-11-23_09h57.57.623,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,jh,2,001,male,2022-11-23_09h57.57.623,openIAT,2020.1.0rc3,MacIntel,60,a,0,2.1893,,,,,,,,2.1893,0,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,jh,2,001,male,2022-11-23_09h57.57.623,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.6349,,,,,,,,1.6349,1,0,1,1,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,jh,2,001,male,2022-11-23_09h57.57.623,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6972,,,,,,,,0.6972,1,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,jh,2,001,male,2022-11-23_09h57.57.623,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7526,,,,,,,,0.7526,1,0,3,3,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,jh,2,001,male,2022-11-23_09h57.57.623,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6092,,,,,,,,0.6092,1,0,4,4,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,jh,2,001,male,2022-11-23_09h57.57.623,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.4935,,,,,,,,0.4935,1,0,5,5,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,jh,2,001,male,2022-11-23_09h57.57.623,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6488,,,,,,,,0.6488,1,0,6,6,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,jh,2,001,male,2022-11-23_09h57.57.623,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6158,,,,,,,,0.6158,1,0,7,7,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,jh,2,001,male,2022-11-23_09h57.57.623,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7472,,,,,,,,0.7472,1,0,8,8,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,jh,2,001,male,2022-11-23_09h57.57.623,openIAT,2020.1.0rc3,MacIntel,60,l,1,2.6605,,,,,,,,2.6605,1,0,9,9,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
