instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.029910269,-0.405284148,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.029910269,-0.405284148,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,-0.255234297,-0.293619143,1,0,0,0.9279,button_left,0.9279,1,0,0,0,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,0.428049226,-0.342804959,1,0,0,1.1926,button_right,1.1926,1,0,1,1,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,-0.367563965,-0.367397807,1,0,0,1.0967,button_left,1.0967,1,0,2,2,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,0.475905657,-0.300930582,1,0,0,1.0355,button_right,1.0355,1,0,3,3,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,0.494516451,-0.276337674,1,0,0,0.8117,button_right,0.8117,1,0,4,4,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,-0.506480558,-0.324194105,1,0,0,0.796,button_left,0.796,1,0,5,5,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,-0.509803916,-0.300930582,1,0,0,0.8292,button_left,0.8292,1,0,6,6,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,-0.507809899,-0.322200087,1,0,0,0.8296,button_left,0.8296,1,0,7,7,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,0.50182789,-0.278996385,1,0,0,1.0961,button_right,1.0961,1,0,8,8,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,0.488534397,-0.296277853,1,0,0,0.8476,button_right,0.8476,1,0,9,9,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,-0.512462612,-0.320870762,1,0,0,1.2983,button_left,1.2983,1,0,0,0,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,-0.505815881,-0.310235979,1,0,0,1.2141,button_left,1.2141,1,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,-0.510468594,-0.317547358,1,0,0,0.8966,button_left,0.8966,1,0,2,2,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,-0.505151203,-0.320870762,1,0,0,0.5314,button_left,0.5314,1,0,3,3,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,0.481887711,-0.288301782,1,0,0,0.8986,button_right,0.8986,1,0,4,4,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,0.483881729,-0.286307764,1,0,0,0.9651,button_right,0.9651,1,0,5,5,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,0.481887711,-0.288301782,1,0,0,0.6652,button_right,0.6652,1,0,6,6,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,0.483217097,-0.286307764,1,0,0,0.581,button_right,0.581,1,0,7,7,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,-0.495845791,-0.311565304,1,0,0,1.1479,button_left,1.1479,1,0,8,8,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,0.491193169,-0.277666999,1,0,0,0.6146,button_right,0.6146,1,0,9,9,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,-0.517115311,-0.306912636,1,0,0,1.7482,button_left,1.7482,1,0,0,0,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,0.499833872,-0.284978439,1,0,0,0.7615,button_right,0.7615,1,0,1,1,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,-0.509803916,-0.308906654,1,0,0,0.6969,button_left,0.6969,1,0,2,2,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,0.493851819,-0.288301782,1,0,0,0.6454,button_right,0.6454,0,0,3,3,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,-0.498504487,-0.319541376,1,0,0,0.5807,button_left,0.5807,0,0,4,4,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,0.482552343,-0.298936564,1,0,0,0.9804,button_right,0.9804,1,0,5,5,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,-0.498504487,-0.319541376,1,0,0,1.1299,button_left,1.1299,1,0,6,6,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,-0.498504487,-0.321535394,1,0,0,0.8151,button_left,0.8151,1,0,7,7,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,jj,1,001,male,2023-08-05_18h29.05.531,openIAT,2020.1.0rc3,Win32,60,,0,-0.501827845,-0.318876744,1,0,0,0.5813,button_left,0.5813,1,0,8,8,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
