instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.009504395,-0.408345337,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.005776028,-0.408089261,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.9396,,,,,,,,0.9396,1,0,0,0,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6576,,,,,,,,0.6576,1,0,1,1,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.4407,,,,,,,,0.4407,1,0,2,2,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.3737,,,,,,,,0.3737,1,0,3,3,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.3942,,,,,,,,0.3942,1,0,4,4,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.607,,,,,,,,0.607,1,0,5,5,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.5598,,,,,,,,0.5598,0,0,6,6,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.572,,,,,,,,0.572,1,0,7,7,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5555,,,,,,,,0.5555,1,0,8,8,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.9061,,,,,,,,0.9061,1,0,9,9,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.3073,,,,,,,,1.3073,1,0,0,0,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.4534,,,,,,,,1.4534,1,0,1,1,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.9782,,,,,,,,0.9782,1,0,2,2,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.772,,,,,,,,0.772,1,0,3,3,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5872,,,,,,,,0.5872,1,0,4,4,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.8726,,,,,,,,0.8726,1,0,5,5,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7615,,,,,,,,0.7615,1,0,6,6,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7235,,,,,,,,0.7235,1,0,7,7,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5743,,,,,,,,0.5743,1,0,8,8,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.8244,,,,,,,,0.8244,1,0,9,9,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.8724,,,,,,,,0.8724,1,0,0,0,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.1585,,,,,,,,1.1585,1,0,1,1,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.9461,,,,,,,,0.9461,1,0,2,2,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.8086,,,,,,,,0.8086,1,0,3,3,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6565,,,,,,,,0.6565,1,0,4,4,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,jjo,1,001,female,2022-03-27_18h57.35.612,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.823,,,,,,,,0.823,1,0,5,5,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
