instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.103703732,-0.390740797,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",john,1,001,male,2024-09-17_09h48.35.423,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.124074131,-0.378703732,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",john,1,001,male,2024-09-17_09h48.35.423,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,john,1,001,male,2024-09-17_09h48.35.423,openIAT,2020.1.0rc3,Win32,60,l,1,1.4568,,,,,,,,1.4568,1,0,0,0,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,john,1,001,male,2024-09-17_09h48.35.423,openIAT,2020.1.0rc3,Win32,60,a,1,1.1683,,,,,,,,1.1683,1,0,1,1,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,john,1,001,male,2024-09-17_09h48.35.423,openIAT,2020.1.0rc3,Win32,60,l,1,1.1293,,,,,,,,1.1293,1,0,2,2,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,john,1,001,male,2024-09-17_09h48.35.423,openIAT,2020.1.0rc3,Win32,60,a,1,0.722,,,,,,,,0.722,1,0,3,3,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,john,1,001,male,2024-09-17_09h48.35.423,openIAT,2020.1.0rc3,Win32,60,a,1,0.9221,,,,,,,,0.9221,1,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,john,1,001,male,2024-09-17_09h48.35.423,openIAT,2020.1.0rc3,Win32,60,l,1,0.728,,,,,,,,0.728,1,0,5,5,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,john,1,001,male,2024-09-17_09h48.35.423,openIAT,2020.1.0rc3,Win32,60,a,1,0.7066,,,,,,,,0.7066,1,0,6,6,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,john,1,001,male,2024-09-17_09h48.35.423,openIAT,2020.1.0rc3,Win32,60,l,1,0.8135,,,,,,,,0.8135,1,0,7,7,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,john,1,001,male,2024-09-17_09h48.35.423,openIAT,2020.1.0rc3,Win32,60,a,1,0.7646,,,,,,,,0.7646,1,0,8,8,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,john,1,001,male,2024-09-17_09h48.35.423,openIAT,2020.1.0rc3,Win32,60,l,1,0.7646,,,,,,,,0.7646,1,0,9,9,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,john,1,001,male,2024-09-17_09h48.35.423,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,john,1,001,male,2024-09-17_09h48.35.423,openIAT,2020.1.0rc3,Win32,60,l,1,1.087,,,,,,,,1.087,1,0,0,0,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,john,1,001,male,2024-09-17_09h48.35.423,openIAT,2020.1.0rc3,Win32,60,a,1,1.2181,,,,,,,,1.2181,1,0,1,1,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,john,1,001,male,2024-09-17_09h48.35.423,openIAT,2020.1.0rc3,Win32,60,l,0,0.6566,,,,,,,,0.6566,0,0,2,2,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,john,1,001,male,2024-09-17_09h48.35.423,openIAT,2020.1.0rc3,Win32,60,l,1,1.1006,,,,,,,,1.1006,1,0,3,3,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,john,1,001,male,2024-09-17_09h48.35.423,openIAT,2020.1.0rc3,Win32,60,a,1,0.8613,,,,,,,,0.8613,1,0,4,4,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
