instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0,-0.417592593,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",jp,2,001,female,2022-07-01_14h05.00.585,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,-0.415740741,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",jp,2,001,female,2022-07-01_14h05.00.585,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,jp,2,001,female,2022-07-01_14h05.00.585,openIAT,2020.1.0rc3,Win32,60,,0,-0.323148148,-0.272222222,1,0,0,2.63,button_left,2.63,1,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,jp,2,001,female,2022-07-01_14h05.00.585,openIAT,2020.1.0rc3,Win32,60,,0,0.393518519,-0.294444444,1,0,0,0.965,button_right,0.965,1,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,jp,2,001,female,2022-07-01_14h05.00.585,openIAT,2020.1.0rc3,Win32,60,,0,0.37962963,-0.276851852,1,0,0,0.767,button_right,0.767,0,0,2,2,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,jp,2,001,female,2022-07-01_14h05.00.585,openIAT,2020.1.0rc3,Win32,60,,0,-0.312037037,-0.284259259,1,0,0,0.561,button_left,0.561,1,0,3,3,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,jp,2,001,female,2022-07-01_14h05.00.585,openIAT,2020.1.0rc3,Win32,60,,0,-0.310185185,-0.267592593,1,0,0,0.914,button_left,0.914,1,0,4,4,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,jp,2,001,female,2022-07-01_14h05.00.585,openIAT,2020.1.0rc3,Win32,60,,0,0.344444444,-0.305555556,1,0,0,1.147,button_right,1.147,1,0,5,5,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,jp,2,001,female,2022-07-01_14h05.00.585,openIAT,2020.1.0rc3,Win32,60,,0,-0.316666667,-0.260185185,1,0,0,0.861,button_left,0.861,1,0,6,6,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,jp,2,001,female,2022-07-01_14h05.00.585,openIAT,2020.1.0rc3,Win32,60,,0,0.371296296,-0.261111111,1,0,0,0.379,button_right,0.379,1,0,7,7,1,1,stimuli/blank.png,Bad,l,,,,,,,,
