instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,key_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.076666718,-0.438333359,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",k,2,001,male,2023-07-03_00h09.33.204,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.070833359,-0.443333359,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",k,2,001,male,2023-07-03_00h09.33.204,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,k,2,001,male,2023-07-03_00h09.33.204,openIAT,2020.1.0rc3,Win32,60,,0,-0.24,-0.381666718,1,0,0,1.1312,button_left,1.1312,1,0,0,0,8,1,stimuli/blank.png,Joy,a,,,,,,,,,
,,,,,,,,,,,,,k,2,001,male,2023-07-03_00h09.33.204,openIAT,2020.1.0rc3,Win32,60,,0,-0.24,-0.381666718,1,0,0,0.7835,button_left,0.7835,1,0,1,1,6,1,stimuli/blank.png,Love,a,,,,,,,,,
,,,,,,,,,,,,,k,2,001,male,2023-07-03_00h09.33.204,openIAT,2020.1.0rc3,Win32,60,,0,-0.2375,-0.381666718,1,0,0,2.2813,button_left,2.2813,0,0,2,2,5,1,stimuli/blank.png,Agony,l,,,,,,,,,
,,,,,,,,,,,,,k,2,001,male,2023-07-03_00h09.33.204,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,1.5944,1,0,3,3,0,1,stimuli/blank.png,Good,a,1.5944,,,,,,,,
,,,,,,,,,,,,,k,2,001,male,2023-07-03_00h09.33.204,openIAT,2020.1.0rc3,Win32,60,a,0,,,,,,,,0.3784,0,0,4,4,9,1,stimuli/blank.png,Nasty,l,0.3784,,,,,,,,
,,,,,,,,,,,,,k,2,001,male,2023-07-03_00h09.33.204,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,1.3332,1,0,5,5,3,1,stimuli/blank.png,Hurt,l,1.3332,,,,,,,,
,,,,,,,,,,,,,k,2,001,male,2023-07-03_00h09.33.204,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.6951,1,0,6,6,2,1,stimuli/blank.png,Happy,a,0.6951,,,,,,,,
,,,,,,,,,,,,,k,2,001,male,2023-07-03_00h09.33.204,openIAT,2020.1.0rc3,Win32,60,l,0,,,,,,,,0.6207,0,0,7,7,4,1,stimuli/blank.png,Pleasure,a,0.6207,,,,,,,,
,,,,,,,,,,,,,k,2,001,male,2023-07-03_00h09.33.204,openIAT,2020.1.0rc3,Win32,60,a,0,,,,,,,,0.7056,0,0,8,8,1,1,stimuli/blank.png,Bad,l,0.7056,,,,,,,,
,,,,,,,,,,,,,k,2,001,male,2023-07-03_00h09.33.204,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,1.2429,1,0,9,9,7,1,stimuli/blank.png,Evil,l,1.2429,,,,,,,,
,,,,,,,,,,,,,k,2,001,male,2023-07-03_00h09.33.204,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
