instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,key_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.03515625,-0.419270833,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03515625,-0.416666667,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,,0,-0.321614583,-0.334635417,1,0,0,1.771,button_left,1.771,1,0,0,0,6,1,stimuli/blank.png,Love,a,,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,,0,0.079427083,-0.009114583,1,0,0,2.528,button_right,2.528,1,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,,0,0.35546875,-0.268229167,1,0,0,1.304,button_right,1.304,1,0,2,2,5,1,stimuli/blank.png,Agony,l,,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,,0,-0.360677083,-0.283854167,1,0,0,1.585,button_left,1.585,1,0,3,3,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,,0,-0.345052083,-0.299479167,1,0,0,1.078,button_left,1.078,1,0,4,4,0,1,stimuli/blank.png,Good,a,,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,12.662,1,0,5,5,8,1,stimuli/blank.png,Joy,a,12.662,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,2.746,1,0,6,6,1,1,stimuli/blank.png,Bad,l,2.746,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,3.623,1,0,7,7,3,1,stimuli/blank.png,Hurt,l,3.623,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,1.133,1,0,8,8,7,1,stimuli/blank.png,Evil,l,1.133,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.829,1,0,9,9,2,1,stimuli/blank.png,Happy,a,0.829,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,3.887,1,0,0,0,2,1,stimuli/black_2.jpg,NaN,l,3.887,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,l,0,,,,,,,,1.817,0,0,1,1,7,1,stimuli/white_4.jpg,NaN,a,1.817,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,1.12,1,0,2,2,0,1,stimuli/black_1.jpg,NaN,l,1.12,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,l,0,,,,,,,,0.975,0,0,3,3,9,1,stimuli/white_5.jpg,NaN,a,0.975,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,a,0,,,,,,,,0.694,0,0,4,4,8,1,stimuli/black_5.jpg,NaN,l,0.694,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,l,0,,,,,,,,0.587,0,0,5,5,5,1,stimuli/white_3.jpg,NaN,a,0.587,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.724,1,0,6,6,4,1,stimuli/black_3.jpg,NaN,l,0.724,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.484,1,0,7,7,3,1,stimuli/white_2.jpg,NaN,a,0.484,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,2.396,1,0,8,8,1,1,stimuli/white_1.jpg,NaN,a,2.396,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,1.025,1,0,9,9,6,1,stimuli/black_4.jpg,NaN,l,1.025,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,2.2,1,0,0,0,10,1,stimuli/blank.png,Good,a,2.2,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,1.291,1,0,1,1,13,1,stimuli/blank.png,Hurt,l,1.291,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,1.293,1,0,2,2,9,1,stimuli/white_5.jpg,NaN,a,1.293,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.841,1,0,3,3,4,1,stimuli/black_3.jpg,NaN,l,0.841,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,1.027,1,0,4,4,18,1,stimuli/blank.png,Joy,a,1.027,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.946,1,0,5,5,7,1,stimuli/white_4.jpg,NaN,a,0.946,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.826,1,0,6,6,8,1,stimuli/black_5.jpg,NaN,l,0.826,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.983,1,0,7,7,3,1,stimuli/white_2.jpg,NaN,a,0.983,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.803,1,0,8,8,6,1,stimuli/black_4.jpg,NaN,l,0.803,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.783,1,0,9,9,12,1,stimuli/blank.png,Happy,a,0.783,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.861,1,0,10,10,16,1,stimuli/blank.png,Love,a,0.861,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.74,1,0,11,11,17,1,stimuli/blank.png,Evil,l,0.74,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,2.922,1,0,12,12,19,1,stimuli/blank.png,Nasty,l,2.922,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,1.231,1,0,13,13,1,1,stimuli/white_1.jpg,NaN,a,1.231,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,1.098,1,0,14,14,5,1,stimuli/white_3.jpg,NaN,a,1.098,,,,,,,,
,,,,,,,,,,,,,killertail,1,001,male,2023-10-16_22h04.53.741,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.745,1,0,15,15,2,1,stimuli/black_2.jpg,NaN,l,0.745,,,,,,,,
