instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.016666667,-0.402777778,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",kjy,1,001,female,2020-12-24_10h38.29.124,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.016666667,-0.4,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",kjy,1,001,female,2020-12-24_10h38.29.124,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,kjy,1,001,female,2020-12-24_10h38.29.124,openIAT,2020.1.0rc3,Win32,60,a,1,1.22547,,,,,,,,1.22547,1,0,0,0,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,kjy,1,001,female,2020-12-24_10h38.29.124,openIAT,2020.1.0rc3,Win32,60,l,1,0.96911,,,,,,,,0.96911,1,0,1,1,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,kjy,1,001,female,2020-12-24_10h38.29.124,openIAT,2020.1.0rc3,Win32,60,l,1,1.65918,,,,,,,,1.65918,1,0,2,2,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,kjy,1,001,female,2020-12-24_10h38.29.124,openIAT,2020.1.0rc3,Win32,60,l,1,0.710005,,,,,,,,0.710005,1,0,3,3,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,kjy,1,001,female,2020-12-24_10h38.29.124,openIAT,2020.1.0rc3,Win32,60,l,1,0.476035,,,,,,,,0.476035,1,0,4,4,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,kjy,1,001,female,2020-12-24_10h38.29.124,openIAT,2020.1.0rc3,Win32,60,l,1,0.47489,,,,,,,,0.47489,1,0,5,5,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,kjy,1,001,female,2020-12-24_10h38.29.124,openIAT,2020.1.0rc3,Win32,60,a,1,0.606995,,,,,,,,0.606995,1,0,6,6,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,kjy,1,001,female,2020-12-24_10h38.29.124,openIAT,2020.1.0rc3,Win32,60,a,1,0.884555,,,,,,,,0.884555,1,0,7,7,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,kjy,1,001,female,2020-12-24_10h38.29.124,openIAT,2020.1.0rc3,Win32,60,a,1,0.90719,,,,,,,,0.90719,1,0,8,8,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,kjy,1,001,female,2020-12-24_10h38.29.124,openIAT,2020.1.0rc3,Win32,60,a,1,0.515495,,,,,,,,0.515495,1,0,9,9,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,kjy,1,001,female,2020-12-24_10h38.29.124,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,kjy,1,001,female,2020-12-24_10h38.29.124,openIAT,2020.1.0rc3,Win32,60,a,1,2.256605,,,,,,,,2.256605,1,0,0,0,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,kjy,1,001,female,2020-12-24_10h38.29.124,openIAT,2020.1.0rc3,Win32,60,a,0,0.524295,,,,,,,,0.524295,0,0,1,1,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
