instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,key_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.048478241,-0.42346344,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.037853622,-0.425827026,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.265992851,-0.308579941,1,0,0,3.1304,button_left,3.1304,1,0,0,0,2,1,stimuli/blank.png,Happy,a,,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,l,1,,,,,,,,2.7077,1,0,1,1,5,1,stimuli/blank.png,Agony,l,2.7077,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,l,1,,,,,,,,1.1965,1,0,2,2,3,1,stimuli/blank.png,Hurt,l,1.1965,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,a,1,,,,,,,,3.0877,1,0,3,3,4,1,stimuli/blank.png,Pleasure,a,3.0877,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,a,1,,,,,,,,2.2113,1,0,4,4,6,1,stimuli/blank.png,Love,a,2.2113,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,l,1,,,,,,,,1.1264,1,0,5,5,1,1,stimuli/blank.png,Bad,l,1.1264,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,a,1,,,,,,,,0.708,1,0,6,6,0,1,stimuli/blank.png,Good,a,0.708,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,a,1,,,,,,,,0.7759,1,0,7,7,8,1,stimuli/blank.png,Joy,a,0.7759,,,,,,,,
