instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,key_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.027336861,-0.411816578,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",lkjl,1,001,male,2022-12-31_22h17.19.053,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.025573192,-0.404761905,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",lkjl,1,001,male,2022-12-31_22h17.19.053,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,lkjl,1,001,male,2022-12-31_22h17.19.053,openIAT,2020.1.0rc3,Linux x86_64,60,,0,0.392416226,-0.233686067,1,0,0,2.425,button_right,2.425,1,0,0,0,1,1,stimuli/blank.png,Bad,l,,,,,,,,,
,,,,,,,,,,,,,lkjl,1,001,male,2022-12-31_22h17.19.053,openIAT,2020.1.0rc3,Linux x86_64,60,,0,-0.302469136,-0.32627866,1,0,0,1.646,button_left,1.646,1,0,1,1,6,1,stimuli/blank.png,Love,a,,,,,,,,,
,,,,,,,,,,,,,lkjl,1,001,male,2022-12-31_22h17.19.053,openIAT,2020.1.0rc3,Linux x86_64,60,,0,-0.305114638,-0.321869489,1,0,0,1.163,button_left,1.163,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,,
,,,,,,,,,,,,,lkjl,1,001,male,2022-12-31_22h17.19.053,openIAT,2020.1.0rc3,Linux x86_64,60,,0,0.445326279,-0.298059965,1,0,0,1.499,button_right,1.499,1,0,3,3,9,1,stimuli/blank.png,Nasty,l,,,,,,,,,
,,,,,,,,,,,,,lkjl,1,001,male,2022-12-31_22h17.19.053,openIAT,2020.1.0rc3,Linux x86_64,60,,0,0.185185185,-0.26366843,1,0,0,1.515,button_right,1.515,1,0,4,4,7,1,stimuli/blank.png,Evil,l,,,,,,,,,
,,,,,,,,,,,,,lkjl,1,001,male,2022-12-31_22h17.19.053,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,,,,,,,,2.139,1,0,5,5,0,1,stimuli/blank.png,Good,a,2.139,,,,,,,,
,,,,,,,,,,,,,lkjl,1,001,male,2022-12-31_22h17.19.053,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,,,,,,,,2.173,1,0,6,6,3,1,stimuli/blank.png,Hurt,l,2.173,,,,,,,,
,,,,,,,,,,,,,lkjl,1,001,male,2022-12-31_22h17.19.053,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,,,,,,,,1.111,1,0,7,7,8,1,stimuli/blank.png,Joy,a,1.111,,,,,,,,
,,,,,,,,,,,,,lkjl,1,001,male,2022-12-31_22h17.19.053,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,,,,,,,,0.703,1,0,8,8,5,1,stimuli/blank.png,Agony,l,0.703,,,,,,,,
,,,,,,,,,,,,,lkjl,1,001,male,2022-12-31_22h17.19.053,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,,,,,,,,2.053,1,0,9,9,4,1,stimuli/blank.png,Pleasure,a,2.053,,,,,,,,
,,,,,,,,,,,,,lkjl,1,001,male,2022-12-31_22h17.19.053,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,lkjl,1,001,male,2022-12-31_22h17.19.053,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,,,,,,,,3.109,1,0,0,0,2,1,stimuli/black_2.jpg,NaN,l,3.109,,,,,,,,
,,,,,,,,,,,,,lkjl,1,001,male,2022-12-31_22h17.19.053,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,,,,,,,,1.763,1,0,1,1,6,1,stimuli/black_4.jpg,NaN,l,1.763,,,,,,,,
,,,,,,,,,,,,,lkjl,1,001,male,2022-12-31_22h17.19.053,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,,,,,,,,1.748,1,0,2,2,1,1,stimuli/white_1.jpg,NaN,a,1.748,,,,,,,,
,,,,,,,,,,,,,lkjl,1,001,male,2022-12-31_22h17.19.053,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,,,,,,,,2.024,1,0,3,3,3,1,stimuli/white_2.jpg,NaN,a,2.024,,,,,,,,
,,,,,,,,,,,,,lkjl,1,001,male,2022-12-31_22h17.19.053,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,,,,,,,,1.003,1,0,4,4,4,1,stimuli/black_3.jpg,NaN,l,1.003,,,,,,,,
,,,,,,,,,,,,,lkjl,1,001,male,2022-12-31_22h17.19.053,openIAT,2020.1.0rc3,Linux x86_64,60,l,0,,,,,,,,0.798,0,0,5,5,7,1,stimuli/white_4.jpg,NaN,a,0.798,,,,,,,,
,,,,,,,,,,,,,lkjl,1,001,male,2022-12-31_22h17.19.053,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,,,,,,,,1.921,1,0,6,6,9,1,stimuli/white_5.jpg,NaN,a,1.921,,,,,,,,
,,,,,,,,,,,,,lkjl,1,001,male,2022-12-31_22h17.19.053,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,,,,,,,,2.474,1,0,7,7,8,1,stimuli/black_5.jpg,NaN,l,2.474,,,,,,,,
,,,,,,,,,,,,,lkjl,1,001,male,2022-12-31_22h17.19.053,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,,,,,,,,1.688,1,0,8,8,5,1,stimuli/white_3.jpg,NaN,a,1.688,,,,,,,,
,,,,,,,,,,,,,lkjl,1,001,male,2022-12-31_22h17.19.053,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,,,,,,,,1.181,1,0,9,9,0,1,stimuli/black_1.jpg,NaN,l,1.181,,,,,,,,
,,,,,,,,,,,,,lkjl,1,001,male,2022-12-31_22h17.19.053,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,lkjl,1,001,male,2022-12-31_22h17.19.053,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,,,,,,,,1.37,1,0,0,0,4,1,stimuli/black_3.jpg,NaN,l,1.37,,,,,,,,
