instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.138608398,-0.379882813,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.138608398,-0.379882813,0,0,0,,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.5568,,,,,,,,1.5568,1,0,0,0,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.2731,,,,,,,,1.2731,1,0,1,1,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6478,,,,,,,,0.6478,1,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.4827,,,,,,,,0.4827,1,0,3,3,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5365,,,,,,,,0.5365,1,0,4,4,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5523,,,,,,,,0.5523,1,0,5,5,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5684,,,,,,,,0.5684,1,0,6,6,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6361,,,,,,,,0.6361,1,0,7,7,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6348,,,,,,,,0.6348,1,0,8,8,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5077,,,,,,,,0.5077,1,0,9,9,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,0,4.8204,,,,,,,,4.8204,0,0,0,0,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.5112,,,,,,,,1.5112,1,0,1,1,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.4932,,,,,,,,1.4932,1,0,2,2,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.8996,,,,,,,,0.8996,1,0,3,3,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.647,,,,,,,,0.647,1,0,4,4,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.0637,,,,,,,,1.0637,1,0,5,5,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6009,,,,,,,,0.6009,1,0,6,6,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5437,,,,,,,,0.5437,1,0,7,7,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5311,,,,,,,,0.5311,1,0,8,8,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5779,,,,,,,,0.5779,1,0,9,9,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,2.3175,,,,,,,,2.3175,1,0,0,0,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6363,,,,,,,,0.6363,1,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7085,,,,,,,,0.7085,1,0,2,2,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5541,,,,,,,,0.5541,1,0,3,3,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5676,,,,,,,,0.5676,1,0,4,4,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6365,,,,,,,,0.6365,1,0,5,5,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5944,,,,,,,,0.5944,1,0,6,6,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6346,,,,,,,,0.6346,1,0,7,7,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.465,,,,,,,,0.465,0,0,8,8,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.8349,,,,,,,,0.8349,1,0,9,9,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6834,,,,,,,,0.6834,1,0,10,10,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5528,,,,,,,,0.5528,1,0,11,11,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7349,,,,,,,,0.7349,1,0,12,12,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.3977,,,,,,,,1.3977,1,0,13,13,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.837,,,,,,,,0.837,1,0,14,14,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7541,,,,,,,,0.7541,1,0,15,15,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6493,,,,,,,,0.6493,1,0,16,16,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.8042,,,,,,,,0.8042,1,0,17,17,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.8657,,,,,,,,1.8657,1,0,18,18,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7663,,,,,,,,0.7663,1,0,19,19,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,cong_test.xlsx,"A = 
White or 
Positive","L = 
Black or 
Negative"
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7687,,,,,,,,0.7687,1,0,0,0,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6028,,,,,,,,0.6028,1,0,1,1,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7037,,,,,,,,0.7037,1,0,2,2,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7835,,,,,,,,0.7835,1,0,3,3,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.2217,,,,,,,,1.2217,1,0,4,4,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6353,,,,,,,,0.6353,1,0,5,5,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.1011,,,,,,,,1.1011,1,0,6,6,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5358,,,,,,,,0.5358,1,0,7,7,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6205,,,,,,,,0.6205,1,0,8,8,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5839,,,,,,,,0.5839,1,0,9,9,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,0,1.1625,,,,,,,,1.1625,0,0,0,0,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,3.5866,,,,,,,,3.5866,1,0,1,1,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.9706,,,,,,,,0.9706,0,0,2,2,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.0195,,,,,,,,1.0195,1,0,3,3,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7955,,,,,,,,0.7955,1,0,4,4,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.8998,,,,,,,,0.8998,1,0,5,5,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.833,,,,,,,,0.833,1,0,6,6,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6181,,,,,,,,0.6181,1,0,7,7,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.8123,,,,,,,,0.8123,1,0,8,8,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7338,,,,,,,,0.7338,1,0,9,9,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.9999,,,,,,,,0.9999,1,0,10,10,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.8313,,,,,,,,0.8313,1,0,11,11,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6333,,,,,,,,0.6333,1,0,12,12,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6978,,,,,,,,0.6978,1,0,13,13,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.9352,,,,,,,,0.9352,1,0,14,14,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.7839,,,,,,,,0.7839,0,0,15,15,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.2511,,,,,,,,1.2511,1,0,16,16,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.1478,,,,,,,,1.1478,1,0,17,17,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6695,,,,,,,,0.6695,1,0,18,18,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,luca,1,001,male,2021-07-20_10h31.04.172,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6175,,,,,,,,0.6175,1,0,19,19,9,1,stimuli/white_5.jpg,,l,,,,,,,,
